NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SOX10	49	3.172832489013672	-0.0033757729	Yes	
row_1	NUCKS1	53	3.147641181945801	0.041135646	Yes	
row_2	PAX6	63	3.040254592895508	0.077725194	Yes	
row_3	KAT2B	76	2.940985918045044	0.109663725	Yes	
row_4	GPLD1	89	2.865593194961548	0.14046071	Yes	
row_5	ENPP1	193	-2.806049346923828	0.0748682	Yes	
row_6	FOXH1	200	-2.810940742492676	0.11113358	Yes	
row_7	EDNRA	262	-2.8734564781188965	0.09063306	Yes	
row_8	NPFFR1	282	-2.890042304992676	0.11445501	Yes	
row_9	TSHR	323	-2.9305002689361572	0.11685387	Yes	
row_10	ADRA2A	333	-2.9422924518585205	0.15196013	Yes	
row_11	UCN2	341	-2.954184055328369	0.18934509	Yes	
row_12	PLCB1	353	-2.96479868888855	0.2226935	Yes	
row_13	SOCS1	364	-2.979063034057617	0.2573072	Yes	
row_14	GJB2	433	-3.109480857849121	0.23303518	Yes	
row_15	SLC5A5	439	-3.117771863937378	0.27499568	Yes	
row_16	GPER1	447	-3.1277263164520264	0.3150083	Yes	
row_17	TRIB3	479	-3.1875813007354736	0.33074358	Yes	
row_18	TRIM72	560	-3.3541181087493896	0.29758385	No	
row_19	STAT5A	597	-3.4334332942962646	0.31179506	No	
row_20	DAB2	952	-5.395794868469238	0.022035854	No	
