NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PAX6	63	3.040254592895508	-0.024164867	No	
row_1	MAEL	73	2.9513609409332275	0.006992478	No	
row_2	KAT2B	76	2.940985918045044	0.045337006	No	
row_3	CDKN2B-AS1	162	-2.7686514854431152	-0.005599073	No	
row_4	H2AC6	171	-2.780921220779419	0.024261829	No	
row_5	HR	187	-2.8003194332122803	0.047059618	No	
row_6	H1-4	205	-2.8135929107666016	0.067945674	No	
row_7	PWWP2B	217	-2.8259449005126953	0.0952843	No	
row_8	H1-3	256	-2.869260311126709	0.09494626	No	
row_9	HDAC10	412	-3.067141056060791	-0.025183998	No	
row_10	SLFN11	461	-3.1481404304504395	-0.03215862	No	
row_11	KLF2	489	-3.1956024169921875	-0.016491106	No	
row_12	ANTKMT	703	-3.7768099308013916	-0.18759635	No	
row_13	H1-0	846	-4.222930431365967	-0.27822185	No	
row_14	XIST	933	-4.782760143280029	-0.30251092	Yes	
row_15	H2AC21	963	-5.816632270812988	-0.25289828	Yes	
row_16	H3C8	966	-6.119996070861816	-0.17084214	Yes	
row_17	TFAP2C	969	-6.277585029602051	-0.08661914	Yes	
row_18	TGM2	970	-6.527998447418213	0.0031413175	Yes	
