NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PLG	24	3.6117103099823	1.9003637E-4	Yes	
row_1	SEPTIN7	39	3.332306385040283	0.009112252	Yes	
row_2	LZTFL1	41	3.318791151046753	0.03190077	Yes	
row_3	PDGFRA	72	2.970909357070923	0.021038663	Yes	
row_4	MAEL	73	2.9513609409332275	0.042259417	Yes	
row_5	HOXA9	88	2.86676025390625	0.04783428	Yes	
row_6	SPATA6	112	2.7526395320892334	0.042921577	Yes	
row_7	FUT6	121	-2.725633382797241	0.0539264	Yes	
row_8	ST14	126	-2.7309889793395996	0.069266185	Yes	
row_9	GFRA1	131	-2.734440326690674	0.084630795	Yes	
row_10	HOXB13	146	-2.746823310852051	0.089343295	Yes	
row_11	NPPC	150	-2.7573232650756836	0.10594654	Yes	
row_12	KRT8	169	-2.7782256603240967	0.10658837	Yes	
row_13	VDR	188	-2.8004226684570312	0.10738981	Yes	
row_14	ZAR1	221	-2.8295888900756836	0.09336335	Yes	
row_15	EDNRA	262	-2.8734564781188965	0.071059406	Yes	
row_16	NOS3	281	-2.8893442153930664	0.0725002	Yes	
row_17	MEIOC	294	-2.900211811065674	0.08046382	Yes	
row_18	UNC5C	321	-2.9300830364227295	0.07360461	Yes	
row_19	NICOL1	327	-2.9352338314056396	0.08933884	Yes	
row_20	CEBPB	376	-2.995509624481201	0.059319563	Yes	
row_21	TPGS1	386	-3.0168569087982178	0.07134422	Yes	
row_22	ZNF296	406	-3.057051658630371	0.07291674	Yes	
row_23	DHH	428	-3.09759521484375	0.07263255	Yes	
row_24	GJB2	433	-3.109480857849121	0.09069375	Yes	
row_25	JAG2	448	-3.1277987957000732	0.09814553	Yes	
row_26	C3	451	-3.1319963932037354	0.11851685	Yes	
row_27	GAS2	453	-3.1346993446350098	0.13998172	Yes	
row_28	NR2F2	484	-3.191045045852661	0.13070242	Yes	
row_29	EREG	487	-3.1926653385162354	0.15150997	Yes	
row_30	TSSK6	507	-3.229088544845581	0.15431945	Yes	
row_31	SCX	535	-3.2875709533691406	0.14895654	Yes	
row_32	FOXL2	536	-3.2896807193756104	0.17260987	Yes	
row_33	TPPP3	553	-3.3279836177825928	0.17935278	Yes	
row_34	SPAG4	557	-3.337902069091797	0.20013048	Yes	
row_35	ZNF628	563	-3.359058380126953	0.21891207	Yes	
row_36	AMH	624	-3.506196975708008	0.17967534	Yes	
row_37	PCSK4	626	-3.5095536708831787	0.20383547	Yes	
row_38	LIF	627	-3.5132107734680176	0.22909603	Yes	
row_39	GAL3ST1	654	-3.579986572265625	0.22690973	No	
row_40	UTP14C	864	-4.273697853088379	0.03314849	No	
row_41	MDK	945	-5.096524238586426	-0.016135804	No	
row_42	TFAP2C	969	-6.277585029602051	0.004296408	No	
