NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CER1	2	4.688291072845459	0.021335313	Yes	
row_1	RAI2	3	4.651643753051758	0.04467731	Yes	
row_2	PLG	24	3.6117103099823	0.040895104	Yes	
row_3	SEPTIN7	39	3.332306385040283	0.04228259	Yes	
row_4	SOX10	49	3.172832489013672	0.04834628	Yes	
row_5	PAX6	63	3.040254592895508	0.04936354	Yes	
row_6	CIMAP3	67	3.017272472381592	0.061218373	Yes	
row_7	PDGFRA	72	2.970909357070923	0.07174526	Yes	
row_8	KAT2B	76	2.940985918045044	0.08321729	Yes	
row_9	HOXA9	88	2.86676025390625	0.08555453	Yes	
row_10	WNT3	93	2.8484997749328613	0.09546717	Yes	
row_11	LMBRD1	97	2.832458257675171	0.106394604	Yes	
row_12	EPAS1	104	2.793264627456665	0.11383949	Yes	
row_13	ZIC1	109	2.7676703929901123	0.12334654	Yes	
row_14	ST14	126	-2.7309889793395996	0.11952602	Yes	
row_15	MEOX1	160	-2.7664220333099365	0.09726337	Yes	
row_16	KRT8	169	-2.7782256603240967	0.10244222	Yes	
row_17	LAMA5	170	-2.7803878784179688	0.11639424	Yes	
row_18	GATA2	173	-2.790175437927246	0.12820478	Yes	
row_19	PDGFB	194	-2.8065645694732666	0.120382346	Yes	
row_20	FOXH1	200	-2.810940742492676	0.12901123	Yes	
row_21	RNF207	229	-2.837528944015503	0.11258185	Yes	
row_22	MESP1	240	-2.853797197341919	0.11594933	Yes	
row_23	EDNRA	262	-2.8734564781188965	0.10736727	Yes	
row_24	NOS3	281	-2.8893442153930664	0.102150805	Yes	
row_25	RET	292	-2.8974151611328125	0.10573716	Yes	
row_26	MBP	326	-2.934398651123047	0.08431742	Yes	
row_27	MYO7A	336	-2.946808338165283	0.08924693	Yes	
row_28	FN1	337	-2.9470744132995605	0.10403538	Yes	
row_29	DVL1	338	-2.9507997035980225	0.11884252	Yes	
row_30	PDZD7	342	-2.956271171569824	0.13039126	Yes	
row_31	TPRN	346	-2.9599862098693848	0.14195862	Yes	
row_32	PLCB1	353	-2.96479868888855	0.15026426	Yes	
row_33	COL7A1	371	-2.988760471343994	0.14664197	Yes	
row_34	POU5F1	374	-2.9945573806762695	0.1594781	Yes	
row_35	CEBPB	376	-2.995509624481201	0.17341432	Yes	
row_36	HES7	385	-3.016427516937256	0.17978846	Yes	
row_37	CXCL8	391	-3.0236406326293945	0.18948467	Yes	
row_38	JAG2	448	-3.1277987957000732	0.14384374	Yes	
row_39	PHLDA2	483	-3.1896989345550537	0.12260981	Yes	
row_40	NR2F2	484	-3.191045045852661	0.13862251	Yes	
row_41	KLF2	489	-3.1956024169921875	0.15027691	Yes	
row_42	TLX2	532	-3.2838497161865234	0.12075312	Yes	
row_43	PCDH12	534	-3.28669810295105	0.13615051	Yes	
row_44	SCX	535	-3.2875709533691406	0.15264757	Yes	
row_45	FOXL2	536	-3.2896807193756104	0.16915523	Yes	
row_46	DKK1	548	-3.323007583618164	0.17378192	Yes	
row_47	GLI3	586	-3.4077069759368896	0.15035608	Yes	
row_48	IRX2	616	-3.4807422161102295	0.13605908	Yes	
row_49	LIF	627	-3.5132107734680176	0.1427355	Yes	
row_50	PCSK6	628	-3.5141444206237793	0.16036952	Yes	
row_51	HOXB9	632	-3.5218191146850586	0.17475617	Yes	
row_52	KIF16B	634	-3.53033447265625	0.19137613	Yes	
row_53	LAMA3	648	-3.565378189086914	0.19502847	Yes	
row_54	IRX1	684	-3.7018518447875977	0.17526923	No	
row_55	ENG	754	-3.9353389739990234	0.11944178	No	
row_56	MSX2	819	-4.1554789543151855	0.07019544	No	
row_57	PITX1	849	-4.229454517364502	0.05965546	No	
row_58	NKX2-5	891	-4.421444416046143	0.036935415	No	
row_59	HOXB2	900	-4.533762454986572	0.05092356	No	
row_60	SEMA3C	960	-5.567404270172119	0.014238725	No	
