NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	FGF12	25	3.5963900089263916	0.0502306	Yes	
row_1	ACE2	79	2.92390775680542	0.05699703	Yes	
row_2	EPAS1	104	2.793264627456665	0.09123163	Yes	
row_3	FGF13	180	-2.796806573867798	0.07236098	Yes	
row_4	RNF207	229	-2.837528944015503	0.0825086	Yes	
row_5	KCNJ12	235	-2.8488452434539795	0.13773468	Yes	
row_6	UCN	259	-2.8704476356506348	0.1746495	Yes	
row_7	EDNRA	262	-2.8734564781188965	0.23352599	Yes	
row_8	NOS3	281	-2.8893442153930664	0.27605549	Yes	
row_9	GJD3	285	-2.8925821781158447	0.33429497	Yes	
row_10	TRDN	314	-2.918647527694702	0.36701864	Yes	
row_11	TTN	469	-3.168562173843384	0.2736575	No	
row_12	ADM5	614	-3.4741430282592773	0.19720697	No	
row_13	CACNA2D1	720	-3.829848527908325	0.1689703	No	
row_14	NKX2-5	891	-4.421444416046143	0.085505724	No	
