NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PLG	24	3.6117103099823	0.03679905	Yes	
row_1	SOX10	49	3.172832489013672	0.06607267	Yes	
row_2	PDGFRA	72	2.970909357070923	0.09397816	Yes	
row_3	EPAS1	104	2.793264627456665	0.1094135	Yes	
row_4	ST14	126	-2.7309889793395996	0.13425219	Yes	
row_5	KRT8	169	-2.7782256603240967	0.13791133	Yes	
row_6	GATA2	173	-2.790175437927246	0.18261306	Yes	
row_7	PDGFB	194	-2.8065645694732666	0.20979477	Yes	
row_8	EDNRA	262	-2.8734564781188965	0.18890882	Yes	
row_9	NOS3	281	-2.8893442153930664	0.2196042	Yes	
row_10	POU5F1	374	-2.9945573806762695	0.17461675	Yes	
row_11	CEBPB	376	-2.995509624481201	0.22493358	Yes	
row_12	JAG2	448	-3.1277987957000732	0.20422035	Yes	
row_13	PHLDA2	483	-3.1896989345550537	0.22331198	Yes	
row_14	NR2F2	484	-3.191045045852661	0.2780288	Yes	
row_15	KLF2	489	-3.1956024169921875	0.32863525	Yes	
row_16	PCDH12	534	-3.28669810295105	0.33891892	Yes	
row_17	GLI3	586	-3.4077069759368896	0.34394768	Yes	
row_18	LIF	627	-3.5132107734680176	0.36230382	Yes	
