NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PAX6	63	3.040254592895508	-0.0070571797	Yes	
row_1	KAT2B	76	2.940985918045044	0.037258137	Yes	
row_2	DLGAP5	111	2.7538352012634277	0.05496699	Yes	
row_3	DNAH2	124	-2.730072021484375	0.095204964	Yes	
row_4	FGF13	180	-2.796806573867798	0.09180096	Yes	
row_5	TRIM54	222	-2.8304295539855957	0.103676	Yes	
row_6	TRDN	314	-2.918647527694702	0.06500984	Yes	
row_7	DVL1	338	-2.9507997035980225	0.09802062	Yes	
row_8	RSPH9	361	-2.977276086807251	0.13258818	Yes	
row_9	TPGS1	386	-3.0168569087982178	0.16583103	Yes	
row_10	NEFL	408	-3.058987617492676	0.20302314	Yes	
row_11	CROCC	435	-3.1135435104370117	0.23604524	Yes	
row_12	CCDC88B	459	-3.1427175998687744	0.27276614	Yes	
row_13	MAP7D1	480	-3.188364028930664	0.31350425	Yes	
row_14	LZTS2	497	-3.2087149620056152	0.35881552	Yes	
row_15	TPPP3	553	-3.3279836177825928	0.36568013	Yes	
row_16	TUBA4A	688	-3.7320139408111572	0.2978057	No	
