NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	RNU6ATAC	149	-2.7521371841430664	-0.112150684	No	
row_1	RNU4ATAC	332	-2.9417386054992676	-0.25575948	No	
row_2	RNU4-1	539	-3.2960586547851562	-0.41883534	No	
row_3	RNU2-1	606	-3.4604945182800293	-0.4331814	Yes	
row_4	RNU4-2	612	-3.468923330307007	-0.3837203	Yes	
row_5	RNVU1-6	715	-3.8240532875061035	-0.42991397	Yes	
row_6	RNVU1-14	732	-3.8655011653900146	-0.3856839	Yes	
row_7	RNU5D-1	735	-3.874344825744629	-0.32670066	Yes	
row_8	RNVU1-2A	755	-3.941316843032837	-0.28440702	Yes	
row_9	PUS1	778	-4.007259368896484	-0.2442055	Yes	
row_10	HNRNPA1L2	786	-4.031564712524414	-0.18796322	Yes	
row_11	RNVU1-19	805	-4.101543426513672	-0.14210013	Yes	
row_12	AFF2	818	-4.153828144073486	-0.08914983	Yes	
row_13	TSEN54	921	-4.692781448364258	-0.12164978	Yes	
row_14	RNVU1-7	950	-5.310695648193359	-0.06716535	Yes	
row_15	RNU11	961	-5.717841148376465	0.012526022	Yes	
