NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SEPTIN7	39	3.332306385040283	-0.011681248	Yes	
row_1	LZTFL1	41	3.318791151046753	0.01698501	Yes	
row_2	PDGFRA	72	2.970909357070923	0.01165087	Yes	
row_3	MAEL	73	2.9513609409332275	0.038090486	Yes	
row_4	ACE2	79	2.92390775680542	0.05895935	Yes	
row_5	HOXA9	88	2.86676025390625	0.076121375	Yes	
row_6	WNT3	93	2.8484997749328613	0.09737966	Yes	
row_7	SPATA6	112	2.7526395320892334	0.10286972	Yes	
row_8	FUT6	121	-2.725633382797241	0.11876746	Yes	
row_9	NPPC	150	-2.7573232650756836	0.113649845	Yes	
row_10	VDR	188	-2.8004226684570312	0.09933367	Yes	
row_11	ZAR1	221	-2.8295888900756836	0.09060359	Yes	
row_12	EDNRA	262	-2.8734564781188965	0.0737468	Yes	
row_13	NOS3	281	-2.8893442153930664	0.08046151	Yes	
row_14	MEIOC	294	-2.900211811065674	0.09366336	Yes	
row_15	NICOL1	327	-2.9352338314056396	0.0858797	Yes	
row_16	TPGS1	386	-3.0168569087982178	0.051138215	Yes	
row_17	ZNF296	406	-3.057051658630371	0.058290366	Yes	
row_18	DHH	428	-3.09759521484375	0.0636758	Yes	
row_19	GJB2	433	-3.109480857849121	0.08727208	Yes	
row_20	JAG2	448	-3.1277987957000732	0.10038282	Yes	
row_21	GAS2	453	-3.1346993446350098	0.124205016	Yes	
row_22	NR2F2	484	-3.191045045852661	0.12084295	Yes	
row_23	EREG	487	-3.1926653385162354	0.14731435	Yes	
row_24	TSSK6	507	-3.229088544845581	0.15600769	Yes	
row_25	FOXL2	536	-3.2896807193756104	0.15565917	Yes	
row_26	TPPP3	553	-3.3279836177825928	0.16843334	Yes	
row_27	SPAG4	557	-3.337902069091797	0.19514087	Yes	
row_28	ZNF628	563	-3.359058380126953	0.21990801	Yes	
row_29	AMH	624	-3.506196975708008	0.18742034	Yes	
row_30	PCSK4	626	-3.5095536708831787	0.21779554	Yes	
row_31	LIF	627	-3.5132107734680176	0.24926846	Yes	
row_32	GAL3ST1	654	-3.579986572265625	0.25365055	Yes	
row_33	UTP14C	864	-4.273697853088379	0.06935905	No	
row_34	MDK	945	-5.096524238586426	0.02981899	No	
