NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	HMGN5	10	3.9480648040771484	0.029183159	No	
row_1	NUCKS1	53	3.147641181945801	0.016555913	No	
row_2	PAX6	63	3.040254592895508	0.0376581	No	
row_3	MAEL	73	2.9513609409332275	0.057865698	No	
row_4	KAT2B	76	2.940985918045044	0.08535285	No	
row_5	DLGAP5	111	2.7538352012634277	0.07720132	No	
row_6	CDKN2B-AS1	162	-2.7686514854431152	0.05232127	No	
row_7	H2AC6	171	-2.780921220779419	0.07186848	No	
row_8	HR	187	-2.8003194332122803	0.08422695	No	
row_9	H1-4	205	-2.8135929107666016	0.09460929	No	
row_10	PWWP2B	217	-2.8259449005126953	0.11144505	No	
row_11	H1-3	256	-2.869260311126709	0.1002357	No	
row_12	HDAC10	412	-3.067141056060791	-0.032399967	No	
row_13	MED17	441	-3.1184113025665283	-0.03055344	No	
row_14	PARP10	442	-3.119767427444458	8.426029E-4	No	
row_15	SLFN11	461	-3.1481404304504395	0.013536837	No	
row_16	KLF2	489	-3.1956024169921875	0.01721504	No	
row_17	TSSK6	507	-3.229088544845581	0.031778753	No	
row_18	ANTKMT	703	-3.7768099308013916	-0.1359092	No	
row_19	H1-0	846	-4.222930431365967	-0.2432004	No	
row_20	XIST	933	-4.782760143280029	-0.285786	Yes	
row_21	H2AC21	963	-5.816632270812988	-0.25784054	Yes	
row_22	H3C8	966	-6.119996070861816	-0.19836116	Yes	
row_23	TFAP2C	969	-6.277585029602051	-0.13729586	Yes	
row_24	TGM2	970	-6.527998447418213	-0.071600795	Yes	
row_25	MLLT3	973	-7.3244805335998535	2.0489097E-8	Yes	
