NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ACE2	79	2.92390775680542	-0.02726768	Yes	
row_1	EPAS1	104	2.793264627456665	4.6584872E-4	Yes	
row_2	HRH2	107	2.7834794521331787	0.05100288	Yes	
row_3	FGF13	180	-2.796806573867798	0.028646637	Yes	
row_4	RNF207	229	-2.837528944015503	0.032138698	Yes	
row_5	KCNJ12	235	-2.8488452434539795	0.080776796	Yes	
row_6	UCN	259	-2.8704476356506348	0.111014545	Yes	
row_7	EDNRA	262	-2.8734564781188965	0.16325276	Yes	
row_8	NOS3	281	-2.8893442153930664	0.19907245	Yes	
row_9	GJD3	285	-2.8925821781158447	0.25062734	Yes	
row_10	DOCK5	313	-2.917257070541382	0.27757037	Yes	
row_11	TRDN	314	-2.918647527694702	0.33275288	Yes	
row_12	ADRA2A	333	-2.9422924518585205	0.36957365	Yes	
row_13	ADM5	614	-3.4741430282592773	0.14267784	No	
row_14	CACNA2D1	720	-3.829848527908325	0.10537044	No	
row_15	BDKRB2	736	-3.8775219917297363	0.16300827	No	
row_16	NKX2-5	891	-4.421444416046143	0.085684426	No	
