NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PLG	24	3.6117103099823	-0.0043319985	Yes	
row_1	SEPTIN7	39	3.332306385040283	5.033929E-4	Yes	
row_2	LZTFL1	41	3.318791151046753	0.019357372	Yes	
row_3	PDGFRA	72	2.970909357070923	0.004667987	Yes	
row_4	MAEL	73	2.9513609409332275	0.022399124	Yes	
row_5	ACE2	79	2.92390775680542	0.03454233	Yes	
row_6	HOXA9	88	2.86676025390625	0.043088414	Yes	
row_7	SELENOP	91	2.8535478115081787	0.05806271	Yes	
row_8	WNT3	93	2.8484997749328613	0.07409128	Yes	
row_9	SLC38A3	100	2.802264451980591	0.08441909	Yes	
row_10	SPATA6	112	2.7526395320892334	0.08902576	Yes	
row_11	FUT6	121	-2.725633382797241	0.09672398	Yes	
row_12	ST14	126	-2.7309889793395996	0.108792774	Yes	
row_13	GFRA1	131	-2.734440326690674	0.1208823	Yes	
row_14	HOXB13	146	-2.746823310852051	0.122200236	Yes	
row_15	NPPC	150	-2.7573232650756836	0.13551185	Yes	
row_16	KRT8	169	-2.7782256603240967	0.13268004	Yes	
row_17	VDR	188	-2.8004226684570312	0.12998159	Yes	
row_18	ZAR1	221	-2.8295888900756836	0.11227399	Yes	
row_19	UCN	259	-2.8704476356506348	0.08938886	Yes	
row_20	EDNRA	262	-2.8734564781188965	0.10448277	Yes	
row_21	NOS3	281	-2.8893442153930664	0.10231855	Yes	
row_22	MEIOC	294	-2.900211811065674	0.106727205	Yes	
row_23	UNC5C	321	-2.9300830364227295	0.09613094	Yes	
row_24	NICOL1	327	-2.9352338314056396	0.10834219	Yes	
row_25	ADRA2A	333	-2.9422924518585205	0.12059585	Yes	
row_26	PLCB1	353	-2.96479868888855	0.11780034	Yes	
row_27	CEBPB	376	-2.995509624481201	0.11193554	Yes	
row_28	SLC2A1	382	-3.0105245113372803	0.12459913	Yes	
row_29	TPGS1	386	-3.0168569087982178	0.13946995	Yes	
row_30	ZNF296	406	-3.057051658630371	0.13722868	Yes	
row_31	DHH	428	-3.09759521484375	0.13306178	Yes	
row_32	GJB2	433	-3.109480857849121	0.14740448	Yes	
row_33	JAG2	448	-3.1277987957000732	0.15101123	Yes	
row_34	C3	451	-3.1319963932037354	0.16765839	Yes	
row_35	GAS2	453	-3.1346993446350098	0.18540637	Yes	
row_36	NR2F2	484	-3.191045045852661	0.17203952	Yes	
row_37	EREG	487	-3.1926653385162354	0.18905117	Yes	
row_38	TSSK6	507	-3.229088544845581	0.18784344	Yes	
row_39	SCX	535	-3.2875709533691406	0.17831029	Yes	
row_40	FOXL2	536	-3.2896807193756104	0.19807398	Yes	
row_41	TPPP3	553	-3.3279836177825928	0.2007142	Yes	
row_42	SPAG4	557	-3.337902069091797	0.2175138	Yes	
row_43	ZNF628	563	-3.359058380126953	0.2322713	Yes	
row_44	AMH	624	-3.506196975708008	0.18825984	No	
row_45	PCSK4	626	-3.5095536708831787	0.20825988	No	
row_46	LIF	627	-3.5132107734680176	0.2293665	No	
row_47	GAL3ST1	654	-3.579986572265625	0.22267471	No	
row_48	MSX2	819	-4.1554789543151855	0.06976573	No	
row_49	UTP14C	864	-4.273697853088379	0.047718838	No	
row_50	MDK	945	-5.096524238586426	-0.008430249	No	
row_51	TFAP2C	969	-6.277585029602051	0.0043383464	No	
