NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SOX10	49	3.172832489013672	-0.022551112	Yes	
row_1	NUCKS1	53	3.147641181945801	0.0035991147	Yes	
row_2	PAX6	63	3.040254592895508	0.022365326	Yes	
row_3	KAT2B	76	2.940985918045044	0.03701468	Yes	
row_4	GPLD1	89	2.865593194961548	0.050961245	Yes	
row_5	CDO1	113	2.7510716915130615	0.05213813	Yes	
row_6	TWIST2	135	-2.7385497093200684	0.055325948	Yes	
row_7	ENPP1	193	-2.806049346923828	0.020845115	Yes	
row_8	FOXH1	200	-2.810940742492676	0.040665194	Yes	
row_9	UCN	259	-2.8704476356506348	0.00572084	Yes	
row_10	EDNRA	262	-2.8734564781188965	0.030379	Yes	
row_11	NOS3	281	-2.8893442153930664	0.038163986	Yes	
row_12	NPFFR1	282	-2.890042304992676	0.06510441	Yes	
row_13	TSHR	323	-2.9305002689361572	0.049868792	Yes	
row_14	ADRA2A	333	-2.9422924518585205	0.06772182	Yes	
row_15	UCN2	341	-2.954184055328369	0.087813355	Yes	
row_16	PLCB1	353	-2.96479868888855	0.10374852	Yes	
row_17	SOCS1	364	-2.979063034057617	0.12088049	Yes	
row_18	SLC2A1	382	-3.0105245113372803	0.13085893	Yes	
row_19	FOSL2	399	-3.0433175563812256	0.14220688	Yes	
row_20	NEFL	408	-3.058987617492676	0.16221155	Yes	
row_21	DHH	428	-3.09759521484375	0.17087398	Yes	
row_22	GJB2	433	-3.109480857849121	0.19560465	Yes	
row_23	SLC5A5	439	-3.117771863937378	0.21934879	Yes	
row_24	GPER1	447	-3.1277263164520264	0.24105805	Yes	
row_25	TRIB3	479	-3.1875813007354736	0.23779336	Yes	
row_26	EREG	487	-3.1926653385162354	0.26010796	Yes	
row_27	FHL2	500	-3.213005304336548	0.27729306	Yes	
row_28	TRIM72	560	-3.3541181087493896	0.24579355	No	
row_29	STAT5A	597	-3.4334332942962646	0.23950149	No	
row_30	PCSK1	600	-3.447157144546509	0.2695076	No	
row_31	GAL	690	-3.7432453632354736	0.20972055	No	
row_32	TIMP3	824	-4.174835205078125	0.10714822	No	
row_33	DAB2	952	-5.395794868469238	0.022340422	No	
