NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	NUCKS1	53	3.147641181945801	-0.006966228	Yes	
row_1	PAX6	63	3.040254592895508	0.030577842	Yes	
row_2	KAT2B	76	2.940985918045044	0.063439734	Yes	
row_3	GPLD1	89	2.865593194961548	0.09513642	Yes	
row_4	CDO1	113	2.7510716915130615	0.11352064	Yes	
row_5	TWIST2	135	-2.7385497093200684	0.13380997	Yes	
row_6	ENPP1	193	-2.806049346923828	0.117367074	Yes	
row_7	EDNRA	262	-2.8734564781188965	0.09042349	Yes	
row_8	TSHR	323	-2.9305002689361572	0.07275606	Yes	
row_9	PLCB1	353	-2.96479868888855	0.08814758	Yes	
row_10	SOCS1	364	-2.979063034057617	0.1236966	Yes	
row_11	SLC2A1	382	-3.0105245113372803	0.15238665	Yes	
row_12	NEFL	408	-3.058987617492676	0.17343116	Yes	
row_13	GJB2	433	-3.109480857849121	0.19630538	Yes	
row_14	GPER1	447	-3.1277263164520264	0.23100407	Yes	
row_15	TRIB3	479	-3.1875813007354736	0.24774012	Yes	
row_16	EREG	487	-3.1926653385162354	0.2897384	Yes	
row_17	TRIM72	560	-3.3541181087493896	0.26602626	Yes	
row_18	STAT5A	597	-3.4334332942962646	0.28131545	Yes	
row_19	PCSK1	600	-3.447157144546509	0.3324935	Yes	
row_20	GAL	690	-3.7432453632354736	0.29695708	No	
