NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	MAEL	73	2.9513609409332275	-0.083694786	No	
row_1	KAT2B	76	2.940985918045044	-0.08124174	No	
row_2	NOC4L	130	-2.733999490737915	-0.14102536	No	
row_3	SNORD14A	138	-2.741365671157837	-0.14497153	No	
row_4	SNORA22	145	-2.74666428565979	-0.1476953	No	
row_5	SNORA38	147	-2.7472636699676514	-0.14435013	No	
row_6	RNU6ATAC	149	-2.7521371841430664	-0.14099686	No	
row_7	SNORA2C	184	-2.798804521560669	-0.1776147	No	
row_8	SNORA49	211	-2.818580389022827	-0.20449097	No	
row_9	SNORD67	249	-2.8601062297821045	-0.24464788	No	
row_10	SNORA80B	260	-2.871049165725708	-0.2520196	No	
row_11	SNORA14B	288	-2.8936045169830322	-0.279985	No	
row_12	SNORA5A	289	-2.8964033126831055	-0.27517876	No	
row_13	SNORA2A	308	-2.908775806427002	-0.29219663	No	
row_14	SNORD94	309	-2.9136712551116943	-0.2873617	No	
row_15	RNU4ATAC	332	-2.9417386054992676	-0.30917928	No	
row_16	SNORA79B	365	-2.980301856994629	-0.34306875	No	
row_17	SNORD46	403	-3.048588275909424	-0.38291287	No	
row_18	RPP25	446	-3.126251459121704	-0.4286961	No	
row_19	SCARNA6	494	-3.20119309425354	-0.4804229	No	
row_20	SNORD15B	508	-3.229675769805908	-0.49084032	No	
row_21	SNORD97	516	-3.244889736175537	-0.49395096	No	
row_22	SNORA84	538	-3.2933926582336426	-0.5139714	No	
row_23	RNU4-1	539	-3.2960586547851562	-0.50850195	No	
row_24	SNORA20	541	-3.307523488998413	-0.5042271	No	
row_25	RPPH1	547	-3.32080078125	-0.5047845	No	
row_26	RNU2-1	606	-3.4604945182800293	-0.5694306	No	
row_27	RNU4-2	612	-3.468923330307007	-0.56974226	No	
row_28	SCARNA2	650	-3.566964864730835	-0.6087262	No	
row_29	QNG1	667	-3.6263625621795654	-0.62212616	No	
row_30	SNORA63C	673	-3.6583659648895264	-0.6221235	No	
row_31	SNORA72	685	-3.702786684036255	-0.6293286	No	
row_32	SNORD116-23	696	-3.7566988468170166	-0.6352307	Yes	
row_33	SCARNA18	701	-3.7709038257598877	-0.63382775	Yes	
row_34	SNORD116-8	702	-3.7709121704101562	-0.62757033	Yes	
row_35	SNORA4	704	-3.78580641746521	-0.6225018	Yes	
row_36	SNORA38B	708	-3.797386407852173	-0.6198413	Yes	
