NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PLAUR	120	-2.722024917602539	-0.080138214	No	
row_1	PLAU	203	-2.8133130073547363	-0.11914292	No	
row_2	PROCR	468	-3.164313554763794	-0.342127	Yes	
row_3	FHL2	500	-3.213005304336548	-0.32134482	Yes	
row_4	EPPK1	562	-3.358006000518799	-0.32944852	Yes	
row_5	FERMT3	573	-3.3879432678222656	-0.28387702	Yes	
row_6	PLEC	631	-3.517745018005371	-0.2851694	Yes	
row_7	LAMA3	648	-3.565378189086914	-0.24292159	Yes	
row_8	FLNC	672	-3.6485278606414795	-0.20659868	Yes	
row_9	ENG	754	-3.9353389739990234	-0.22601476	Yes	
row_10	SVIL	787	-4.039867401123047	-0.19260821	Yes	
row_11	HSPB1	853	-4.240479946136475	-0.19029659	Yes	
row_12	DAB2	952	-5.395794868469238	-0.20329972	Yes	
row_13	TGM2	970	-6.527998447418213	-0.11312575	Yes	
row_14	FOCAD	972	-6.970276355743408	0.0010426443	Yes	
