NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SEPTIN7	39	3.332306385040283	-0.004161547	Yes	
row_1	LZTFL1	41	3.318791151046753	0.031738043	Yes	
row_2	CFAP210	55	3.1000912189483643	0.0525038	Yes	
row_3	CIMAP3	67	3.017272472381592	0.07446369	Yes	
row_4	PDGFRA	72	2.970909357070923	0.10331469	Yes	
row_5	ACE2	79	2.92390775680542	0.12952588	Yes	
row_6	CCDC181	105	2.7915189266204834	0.13415699	Yes	
row_7	IFT88	106	2.7914369106292725	0.16524221	Yes	
row_8	CNTRL	110	2.7658779621124268	0.1928682	Yes	
row_9	SPATA6	112	2.7526395320892334	0.22246318	Yes	
row_10	DNAH2	124	-2.730072021484375	0.24122483	Yes	
row_11	NME3	244	-2.8556771278381348	0.14709948	Yes	
row_12	SPTBN5	271	-2.878653049468994	0.1516427	Yes	
row_13	NPFFR1	282	-2.890042304992676	0.17324397	Yes	
row_14	LRRC56	328	-2.9381189346313477	0.15834358	Yes	
row_15	MYO7A	336	-2.946808338165283	0.18375158	Yes	
row_16	PDZD7	342	-2.956271171569824	0.21138138	Yes	
row_17	RSPH9	361	-2.977276086807251	0.22548847	Yes	
row_18	TPGS1	386	-3.0168569087982178	0.23368712	Yes	
row_19	CROCC	435	-3.1135435104370117	0.21756564	Yes	
row_20	RILP	503	-3.2199180126190186	0.18252291	Yes	
row_21	OXCT2	521	-3.252048969268799	0.20074806	Yes	
row_22	MXRA8	551	-3.3260421752929688	0.20709875	Yes	
row_23	SPAG4	557	-3.337902069091797	0.23897836	Yes	
row_24	CEP41	571	-3.3810088634490967	0.2628724	Yes	
row_25	GLI3	586	-3.4077069759368896	0.28600553	Yes	
row_26	HAVCR1	623	-3.5060250759124756	0.2869531	Yes	
row_27	EVC2	641	-3.5422732830047607	0.30841014	Yes	
row_28	AJM1	698	-3.7585055828094482	0.2910053	No	
