NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	DBF4	65	3.0190491676330566	-0.040581092	No	
row_1	EPAS1	104	2.793264627456665	-0.054699883	No	
row_2	SNORA38	147	-2.7472636699676514	-0.073481195	No	
row_3	NEAT1	176	-2.7930386066436768	-0.07702009	No	
row_4	ABHD17A	197	-2.8088152408599854	-0.071946	No	
row_5	DGKQ	311	-2.915083885192871	-0.16429192	No	
row_6	PLCB1	353	-2.96479868888855	-0.17998296	No	
row_7	HSF4	358	-2.973379135131836	-0.1564404	No	
row_8	PPP1R16B	449	-3.1309385299682617	-0.22243132	No	
row_9	IL15	452	-3.1341545581817627	-0.19527051	No	
row_10	CGAS	460	-3.1451666355133057	-0.17329784	No	
row_11	GLI3	586	-3.4077069759368896	-0.2737404	No	
row_12	PTPRH	599	-3.4442219734191895	-0.25426516	No	
row_13	PTK6	608	-3.4624667167663574	-0.23038666	No	
row_14	MAGEA11	692	-3.7457096576690674	-0.28322738	Yes	
row_15	SNORA38B	708	-3.797386407852173	-0.2636277	Yes	
row_16	ARRB1	711	-3.807941436767578	-0.23017281	Yes	
row_17	ENG	754	-3.9353389739990234	-0.23785591	Yes	
row_18	AFF2	818	-4.153828144073486	-0.26572025	Yes	
row_19	MSX2	819	-4.1554789543151855	-0.22690247	Yes	
row_20	ATP8B1	825	-4.176084995269775	-0.19318323	Yes	
row_21	H1-0	846	-4.222930431365967	-0.1748994	Yes	
row_22	SCARNA23	857	-4.2446794509887695	-0.14583041	Yes	
row_23	SCARNA21	859	-4.256507873535156	-0.10712709	Yes	
row_24	SCARNA22	876	-4.3206329345703125	-0.08369779	Yes	
row_25	TERC	887	-4.369791030883789	-0.05346008	Yes	
row_26	SCARNA13	927	-4.722996234893799	-0.050610784	Yes	
row_27	SCARNA20	938	-4.882644176483154	-0.015582335	Yes	
row_28	CMYA5	959	-5.519669055938721	0.014814772	Yes	
