NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	NUCKS1	53	3.147641181945801	-0.058809374	No	
row_1	NOC4L	130	-2.733999490737915	-0.14616753	No	
row_2	TWIST2	135	-2.7385497093200684	-0.14635089	No	
row_3	SNORD14A	138	-2.741365671157837	-0.14410813	No	
row_4	SNORA22	145	-2.74666428565979	-0.146699	No	
row_5	SNORA38	147	-2.7472636699676514	-0.14323555	No	
row_6	SNORA2C	184	-2.798804521560669	-0.1820573	No	
row_7	SNORA49	211	-2.818580389022827	-0.20873888	No	
row_8	SNORD67	249	-2.8601062297821045	-0.24866699	No	
row_9	SNORA80B	260	-2.871049165725708	-0.25588885	No	
row_10	SNORA14B	288	-2.8936045169830322	-0.2836534	No	
row_11	SNORA5A	289	-2.8964033126831055	-0.2787256	No	
row_12	FOXL2NB	305	-2.908130645751953	-0.29193762	No	
row_13	SNORA2A	308	-2.908775806427002	-0.28941002	No	
row_14	SNORD94	309	-2.9136712551116943	-0.28445283	No	
row_15	DGKQ	311	-2.915083885192871	-0.28070387	No	
row_16	SNORA79B	365	-2.980301856994629	-0.33979794	No	
row_17	ACSL5	383	-3.012366771697998	-0.35525393	No	
row_18	PCDH1	389	-3.0216779708862305	-0.3561662	No	
row_19	FGF18	390	-3.022066831588745	-0.3510246	No	
row_20	SNORD46	403	-3.048588275909424	-0.3603657	No	
row_21	TMUB1	429	-3.0977492332458496	-0.38536164	No	
row_22	PARP10	442	-3.119767427444458	-0.39458162	No	
row_23	RPP25	446	-3.126251459121704	-0.39289472	No	
row_24	GPER1	447	-3.1277263164520264	-0.3875733	No	
row_25	CCNO	463	-3.1539077758789062	-0.40036717	No	
row_26	SCARNA6	494	-3.20119309425354	-0.4312404	No	
row_27	SNORD15B	508	-3.229675769805908	-0.44148403	No	
row_28	SNORD97	516	-3.244889736175537	-0.4444379	No	
row_29	CASP1	533	-3.2840986251831055	-0.4582209	No	
row_30	SNORA84	538	-3.2933926582336426	-0.45746028	No	
row_31	SNORA20	541	-3.307523488998413	-0.45425427	No	
row_32	GABRG3	552	-3.326986312866211	-0.46070042	No	
row_33	NOL12	561	-3.3566534519195557	-0.46467477	No	
row_34	PIDD1	585	-3.4075064659118652	-0.48672238	No	
row_35	GLI3	586	-3.4077069759368896	-0.48092464	No	
row_36	SCARNA2	650	-3.566964864730835	-0.55112714	No	
row_37	SNORA63C	673	-3.6583659648895264	-0.5715373	No	
