NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	MAEL	73	2.9513609409332275	-0.052257977	No	
row_1	CNTRL	110	2.7658779621124268	-0.06682386	No	
row_2	GALNT1	119	2.7225117683410645	-0.052036572	No	
row_3	SYT5	186	-2.799546480178833	-0.0981617	No	
row_4	SELENOM	195	-2.8084869384765625	-0.08263924	No	
row_5	RNF207	229	-2.837528944015503	-0.093407735	No	
row_6	XKR8	255	-2.8690390586853027	-0.09541422	No	
row_7	ANKRD13B	274	-2.880204916000366	-0.08989423	No	
row_8	PLEKHF1	300	-2.9049322605133057	-0.091593795	No	
row_9	RASD1	410	-3.0640361309051514	-0.18110485	No	
row_10	TSTD1	430	-3.0983235836029053	-0.17478134	No	
row_11	GJB2	433	-3.109480857849121	-0.15031569	No	
row_12	GPER1	447	-3.1277263164520264	-0.13737132	No	
row_13	PPP1R16B	449	-3.1309385299682617	-0.11166062	No	
row_14	PROCR	468	-3.164313554763794	-0.103711255	No	
row_15	S100A6	496	-3.2028191089630127	-0.104986764	No	
row_16	GALNT6	509	-3.2312874794006348	-0.09009528	No	
row_17	FZD9	519	-3.2504093647003174	-0.07185558	No	
row_18	PDLIM4	531	-3.2832272052764893	-0.055458397	No	
row_19	TPPP3	553	-3.3279836177825928	-0.04929422	No	
row_20	PRR7	582	-3.4045276641845703	-0.04990652	No	
row_21	PCSK1	600	-3.447157144546509	-0.03847702	No	
row_22	PLEC	631	-3.517745018005371	-0.040244352	No	
row_23	PICK1	731	-3.864288806915283	-0.11229685	No	
row_24	ZFTRAF1	764	-3.9688820838928223	-0.11232971	No	
row_25	TNFRSF1B	926	-4.718831539154053	-0.24289253	Yes	
row_26	TLR4	939	-4.897897720336914	-0.21375006	Yes	
row_27	SHTN1	942	-4.947065830230713	-0.17357147	Yes	
row_28	DAB2	952	-5.395794868469238	-0.13698684	Yes	
row_29	CMYA5	959	-5.519669055938721	-0.096158266	Yes	
row_30	HMOX1	968	-6.207196235656738	-0.051573873	Yes	
row_31	TGM2	970	-6.527998447418213	0.0031846547	Yes	
