NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SLC6A11	0	5.535912990570068	0.089408815	Yes	
row_1	SLC6A1	8	3.9939444065093994	0.1465916	Yes	
row_2	GABBR2	12	3.9163670539855957	0.20670556	Yes	
row_3	GRIA2	19	3.7197682857513428	0.26050624	Yes	
row_4	NETO2	43	3.300168991088867	0.28974766	Yes	
row_5	LRRTM3	60	3.059755325317383	0.3224284	Yes	
row_6	ABHD17A	197	-2.8088152408599854	0.22553332	Yes	
row_7	ADRA2A	333	-2.9422924518585205	0.13183998	Yes	
row_8	GABRB3	334	-2.9434022903442383	0.17937796	Yes	
row_9	KCNC4	396	-3.034359931945801	0.16457744	Yes	
row_10	COL13A1	402	-3.0478408336639404	0.20857204	Yes	
row_11	TMUB1	429	-3.0977492332458496	0.23140618	Yes	
row_12	ANK1	450	-3.1319949626922607	0.26106957	Yes	
row_13	PDLIM4	531	-3.2832272052764893	0.23041394	Yes	
row_14	GABRG3	552	-3.326986312866211	0.26322657	Yes	
row_15	KCNC3	572	-3.386237144470215	0.29804215	Yes	
row_16	PRR7	582	-3.4045276641845703	0.3436134	Yes	
row_17	LRFN4	769	-3.9835147857666016	0.21338925	No	
