NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	RPSA2	4	4.477403163909912	0.033402573	No	
row_1	NOC4L	130	-2.733999490737915	-0.076028965	No	
row_2	MIR17HG	141	-2.7437117099761963	-0.06355683	No	
row_3	RNU6ATAC	149	-2.7521371841430664	-0.047835886	No	
row_4	NEAT1	176	-2.7930386066436768	-0.051898226	No	
row_5	RNU4ATAC	332	-2.9417386054992676	-0.19136304	No	
row_6	MIRLET7BHG	380	-3.0088565349578857	-0.21585684	No	
row_7	RPP25	446	-3.126251459121704	-0.25843155	No	
row_8	RNU4-1	539	-3.2960586547851562	-0.32818043	No	
row_9	RPPH1	547	-3.32080078125	-0.30767894	No	
row_10	RNU2-1	606	-3.4604945182800293	-0.34002852	No	
row_11	RNU4-2	612	-3.468923330307007	-0.3161632	No	
row_12	RNF135	647	-3.559652090072632	-0.3222555	No	
row_13	RNVU1-6	715	-3.8240532875061035	-0.36108267	Yes	
row_14	RN7SL3	725	-3.844958782196045	-0.33829343	Yes	
row_15	RNVU1-14	732	-3.8655011653900146	-0.31215352	Yes	
row_16	RNU5D-1	735	-3.874344825744629	-0.281702	Yes	
row_17	RNVU1-2A	755	-3.941316843032837	-0.26869595	Yes	
row_18	HNRNPA1L2	786	-4.031564712524414	-0.26658374	Yes	
row_19	RNVU1-19	805	-4.101543426513672	-0.25117138	Yes	
row_20	SNORA62	813	-4.129929065704346	-0.22386786	Yes	
row_21	UTP14C	864	-4.273697853088379	-0.24090658	Yes	
row_22	TERC	887	-4.369791030883789	-0.22747646	Yes	
row_23	MRPL41	922	-4.693818092346191	-0.22403423	Yes	
row_24	XIST	933	-4.782760143280029	-0.19442056	Yes	
row_25	PWP2	934	-4.787674427032471	-0.15417238	Yes	
row_26	SNORA63	944	-5.083520889282227	-0.120971	Yes	
row_27	RNVU1-7	950	-5.310695648193359	-0.08162257	Yes	
row_28	RNU11	961	-5.717841148376465	-0.044148028	Yes	
row_29	SNORA74A	971	-6.637692928314209	0.002118685	Yes	
