NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	FCGR2A	7	4.010391712188721	0.030931922	Yes	
row_1	KCNIP1	16	3.80096435546875	0.058798917	Yes	
row_2	GRIA2	19	3.7197682857513428	0.092258625	Yes	
row_3	PLG	24	3.6117103099823	0.12256152	Yes	
row_4	MYZAP	30	3.4602081775665283	0.1503536	Yes	
row_5	PTPN3	51	3.157999277114868	0.1593312	Yes	
row_6	PDGFRA	72	2.970909357070923	0.16651914	Yes	
row_7	ART3	98	2.8248515129089355	0.16700205	Yes	
row_8	LSAMP	103	2.7940640449523926	0.18948343	Yes	
row_9	PLAUR	120	-2.722024917602539	0.19853686	Yes	
row_10	ST14	126	-2.7309889793395996	0.21935332	Yes	
row_11	SLC4A1	127	-2.732518434524536	0.24549225	Yes	
row_12	GFRA1	131	-2.734440326690674	0.26846486	Yes	
row_13	ULBP2	202	-2.8123979568481445	0.22105794	Yes	
row_14	PLAU	203	-2.8133130073547363	0.24796975	Yes	
row_15	CCR4	214	-2.824213743209839	0.2643701	Yes	
row_16	GP1BA	231	-2.8445708751678467	0.2745958	Yes	
row_17	IL12RB2	287	-2.8931500911712646	0.2438849	No	
row_18	TNFRSF18	362	-2.977454900741577	0.19381061	No	
row_19	ANK1	450	-3.1319949626922607	0.1314142	No	
row_20	EEF1A2	474	-3.1831092834472656	0.1374473	No	
row_21	S100A6	496	-3.2028191089630127	0.14579208	No	
row_22	ITGAX	505	-3.2209417819976807	0.16811065	No	
row_23	SLC7A5	527	-3.2783756256103516	0.1771782	No	
row_24	LRRC24	570	-3.3801610469818115	0.16492642	No	
row_25	TNFRSF9	579	-3.3986008167266846	0.18894444	No	
row_26	MMP17	595	-3.4300127029418945	0.20583196	No	
row_27	MDGA2	598	-3.4362919330596924	0.23657997	No	
row_28	IL1R1	682	-3.68390154838562	0.18370932	No	
row_29	ITGAL	751	-3.9228482246398926	0.14904797	No	
row_30	ENG	754	-3.9353389739990234	0.1845698	No	
row_31	TLR4	939	-4.897897720336914	0.036093395	No	
