NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SLC6A11	0	5.535912990570068	0.026836041	Yes	
row_1	SLC6A1	8	3.9939444065093994	0.038521755	Yes	
row_2	GABBR2	12	3.9163670539855957	0.05421737	Yes	
row_3	GRIA2	19	3.7197682857513428	0.065670475	Yes	
row_4	FRMPD4	21	3.6995248794555664	0.08250789	Yes	
row_5	INSYN2A	23	3.6517512798309326	0.09911373	Yes	
row_6	PLG	24	3.6117103099823	0.116621956	Yes	
row_7	FGF12	25	3.5963900089263916	0.13405591	Yes	
row_8	NETO2	43	3.300168991088867	0.13141355	Yes	
row_9	CTTNBP2	46	3.2213943004608154	0.1448367	Yes	
row_10	SLC18A1	58	3.074232816696167	0.14767802	Yes	
row_11	LRRTM3	60	3.059755325317383	0.16141409	Yes	
row_12	HRH2	107	2.7834794521331787	0.12446875	Yes	
row_13	KCNQ2	132	-2.735244035720825	0.111412406	Yes	
row_14	LAMA5	170	-2.7803878784179688	0.084320515	Yes	
row_15	SPHK1	182	-2.7983622550964355	0.08582453	Yes	
row_16	SYT5	186	-2.799546480178833	0.09610621	Yes	
row_17	ABHD17A	197	-2.8088152408599854	0.098757386	Yes	
row_18	PENK	198	-2.8095626831054688	0.1123771	Yes	
row_19	SYN3	243	-2.855661153793335	0.07797466	Yes	
row_20	USP6	250	-2.862300157546997	0.08527108	Yes	
row_21	UCN	259	-2.8704476356506348	0.09041401	Yes	
row_22	DGKQ	311	-2.915083885192871	0.048624195	Yes	
row_23	UNC5C	321	-2.9300830364227295	0.052959725	Yes	
row_24	MBP	326	-2.934398651123047	0.062798634	Yes	
row_25	ADRA2A	333	-2.9422924518585205	0.07048282	Yes	
row_26	GABRB3	334	-2.9434022903442383	0.08475134	Yes	
row_27	MYO7A	336	-2.946808338165283	0.09793987	Yes	
row_28	DVL1	338	-2.9507997035980225	0.11114776	Yes	
row_29	PLCB1	353	-2.96479868888855	0.11016912	Yes	
row_30	SLC2A1	382	-3.0105245113372803	0.09406126	Yes	
row_31	TPGS1	386	-3.0168569087982178	0.10539639	Yes	
row_32	KCNC4	396	-3.034359931945801	0.11023741	Yes	
row_33	COL13A1	402	-3.0478408336639404	0.11952975	Yes	
row_34	NEFL	408	-3.058987617492676	0.12887612	Yes	
row_35	TMUB1	429	-3.0977492332458496	0.12196303	Yes	
row_36	IQSEC2	434	-3.11313533782959	0.13266839	Yes	
row_37	GPER1	447	-3.1277263164520264	0.13467254	Yes	
row_38	ANK1	450	-3.1319949626922607	0.1476623	Yes	
row_39	EEF1A2	474	-3.1831092834472656	0.13787353	Yes	
row_40	C1QL2	478	-3.186117172241211	0.15002917	Yes	
row_41	SLITRK2	513	-3.234872579574585	0.12842992	Yes	
row_42	FZD9	519	-3.2504093647003174	0.13870424	Yes	
row_43	PDLIM4	531	-3.2832272052764893	0.1425587	Yes	
row_44	GABRG3	552	-3.326986312866211	0.13675685	Yes	
row_45	KCNC3	572	-3.386237144470215	0.13233873	Yes	
row_46	BEGAIN	575	-3.392683506011963	0.14659221	Yes	
row_47	KIRREL3	581	-3.402704954147339	0.15760481	Yes	
row_48	PRR7	582	-3.4045276641845703	0.17410868	Yes	
row_49	PCSK1	600	-3.447157144546509	0.17217886	Yes	
row_50	KCNQ3	604	-3.4601972103118896	0.18566313	Yes	
row_51	MAP1LC3A	633	-3.5271849632263184	0.17205986	Yes	
row_52	ELFN1	642	-3.5453062057495117	0.18047425	Yes	
row_53	SLC3A2	659	-3.599818706512451	0.18038097	Yes	
row_54	SYT1	694	-3.7537293434143066	0.16129695	Yes	
row_55	ABLIM3	699	-3.7593185901641846	0.17513476	Yes	
row_56	ADORA2B	705	-3.787498712539673	0.18801269	Yes	
row_57	GUCY1A1	726	-3.8453164100646973	0.18472351	Yes	
row_58	PICK1	731	-3.864288806915283	0.19907019	Yes	
row_59	LRFN4	769	-3.9835147857666016	0.17781061	No	
row_60	ITPKA	863	-4.268435001373291	0.0965287	No	
row_61	RAB17	928	-4.742284297943115	0.049342085	No	
