NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	INPP5D	38	3.33878755569458	-0.005976651	Yes	
row_1	PTPN3	51	3.157999277114868	0.013759908	Yes	
row_2	PON2	86	2.881220579147339	0.0073215864	Yes	
row_3	GPLD1	89	2.865593194961548	0.034656882	Yes	
row_4	RPE65	116	2.7320938110351562	0.035169207	Yes	
row_5	DNASE1L2	123	-2.729116916656494	0.056859847	Yes	
row_6	MTMR7	137	-2.740955352783203	0.07124905	Yes	
row_7	SLFN13	177	-2.7939116954803467	0.058611035	Yes	
row_8	PDE10A	183	-2.7983779907226562	0.08207407	Yes	
row_9	ENPP1	193	-2.806049346923828	0.10137418	Yes	
row_10	ABHD17A	197	-2.8088152408599854	0.12706539	Yes	
row_11	EDNRA	262	-2.8734564781188965	0.0887339	Yes	
row_12	PNPLA4	312	-2.9154553413391113	0.0667408	Yes	
row_13	PLCB1	353	-2.96479868888855	0.05479893	Yes	
row_14	PRORSD1P	366	-2.98055362701416	0.07271148	Yes	
row_15	PLBD1	409	-3.063551425933838	0.059663817	Yes	
row_16	NOTUM	415	-3.072103977203369	0.085940555	Yes	
row_17	THEM4	423	-3.0847365856170654	0.11022626	Yes	
row_18	SGPP2	443	-3.121609926223755	0.12216564	Yes	
row_19	RPP25	446	-3.126251459121704	0.15218031	Yes	
row_20	SLFN11	461	-3.1481404304504395	0.16969463	Yes	
row_21	ACP7	530	-3.283205032348633	0.13133328	Yes	
row_22	RPPH1	547	-3.32080078125	0.14850153	Yes	
row_23	CPPED1	559	-3.3440611362457275	0.17121111	Yes	
row_24	PLCB4	564	-3.3665199279785156	0.20157467	Yes	
row_25	PTPRH	599	-3.4442219734191895	0.20092359	Yes	
row_26	DNASE1L1	666	-3.6249210834503174	0.16819571	Yes	
row_27	PROCA1	671	-3.6416521072387695	0.20138742	Yes	
row_28	HELZ2	676	-3.6643149852752686	0.2348121	Yes	
row_29	PTPRB	687	-3.7124321460723877	0.2623687	Yes	
row_30	BDKRB2	736	-3.8775219917297363	0.2513254	No	
