NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SOX10	49	3.172832489013672	-0.016219763	No	
row_1	PTPN3	51	3.157999277114868	0.017921478	No	
row_2	RABL3	99	2.8131723403930664	-2.0120526E-4	No	
row_3	EPAS1	104	2.793264627456665	0.02671741	No	
row_4	SLC4A1	127	-2.732518434524536	0.034011677	No	
row_5	FGF13	180	-2.796806573867798	0.010443451	No	
row_6	CTRC	213	-2.8227877616882324	0.0082174	No	
row_7	COL4A3	247	-2.858926296234131	0.0053414553	No	
row_8	RET	292	-2.8974151611328125	-0.008684503	No	
row_9	ADA2	420	-3.0808064937591553	-0.108035095	No	
row_10	ANK1	450	-3.1319949626922607	-0.10365734	No	
row_11	MIF	506	-3.222379446029663	-0.12564074	No	
row_12	TYMP	546	-3.3200037479400635	-0.12969404	No	
row_13	MLXIPL	734	-3.8722946643829346	-0.2833819	No	
row_14	TCIRG1	794	-4.065958023071289	-0.30017468	Yes	
row_15	ATP8B1	825	-4.176084995269775	-0.28521386	Yes	
row_16	P4HA2	868	-4.281909465789795	-0.28170523	Yes	
row_17	KCNN4	880	-4.350986003875732	-0.24479523	Yes	
row_18	NKX2-5	891	-4.421444416046143	-0.2060474	Yes	
row_19	CDKN2B	907	-4.585554122924805	-0.17073381	Yes	
row_20	CDKN2A	932	-4.7787909507751465	-0.14274041	Yes	
row_21	TLR4	939	-4.897897720336914	-0.094472274	Yes	
row_22	SEMA3C	960	-5.567404270172119	-0.05347976	Yes	
row_23	OPLAH	964	-5.932265758514404	0.009473633	Yes	
