NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PDGFRA	72	2.970909357070923	-0.03148956	No	
row_1	LMBRD1	97	2.832458257675171	-0.014763322	No	
row_2	EPAS1	104	2.793264627456665	0.020231893	No	
row_3	GATA2	173	-2.790175437927246	-0.009740012	No	
row_4	ENPP1	193	-2.806049346923828	0.011831566	No	
row_5	PDGFB	194	-2.8065645694732666	0.053306043	No	
row_6	PLAU	203	-2.8133130073547363	0.08650328	No	
row_7	GP1BA	231	-2.8445708751678467	0.10026716	No	
row_8	RET	292	-2.8974151611328125	0.08025697	No	
row_9	FN1	337	-2.9470744132995605	0.07773455	No	
row_10	ADA2	420	-3.0808064937591553	0.03739781	No	
row_11	RHBDF2	502	-3.218350887298584	1.4077593E-4	No	
row_12	ENG	754	-3.9353389739990234	-0.20453133	No	
row_13	TERC	887	-4.369791030883789	-0.2781759	Yes	
row_14	NKX2-5	891	-4.421444416046143	-0.21597862	Yes	
row_15	SNORD118	895	-4.451511859893799	-0.15333702	Yes	
row_16	CDKN2B	907	-4.585554122924805	-0.09709155	Yes	
row_17	TLR4	939	-4.897897720336914	-0.057172775	Yes	
row_18	HMOX1	968	-6.207196235656738	0.005235737	Yes	
