NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	FCGR2A	7	4.010391712188721	0.057003316	No	
row_1	RABL3	99	2.8131723403930664	0.007219185	No	
row_2	ENPP1	193	-2.806049346923828	-0.04476466	No	
row_3	CTRC	213	-2.8227877616882324	-0.019316409	No	
row_4	EDNRA	262	-2.8734564781188965	-0.023295568	No	
row_5	MIF	506	-3.222379446029663	-0.2250169	No	
row_6	RMRP	618	-3.482687473297119	-0.2849211	No	
row_7	ATP8B1	825	-4.176084995269775	-0.43276888	Yes	
row_8	KCNN4	880	-4.350986003875732	-0.41931385	Yes	
row_9	TERC	887	-4.369791030883789	-0.35550517	Yes	
row_10	CDKN2B	907	-4.585554122924805	-0.30179274	Yes	
row_11	CDKN2A	932	-4.7787909507751465	-0.2501957	Yes	
row_12	TLR4	939	-4.897897720336914	-0.17791939	Yes	
row_13	HMOX1	968	-6.207196235656738	-0.10759033	Yes	
row_14	FOCAD	972	-6.970276355743408	0.0010427635	Yes	
