NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SLC6A1	8	3.9939444065093994	0.025343426	No	
row_1	LZTFL1	41	3.318791151046753	0.019489367	No	
row_2	PON2	86	2.881220579147339	-0.0028105709	No	
row_3	MIR17HG	141	-2.7437117099761963	-0.03689117	No	
row_4	VDR	188	-2.8004226684570312	-0.061998755	No	
row_5	ENPP1	193	-2.806049346923828	-0.04247268	No	
row_6	PDGFB	194	-2.8065645694732666	-0.018695956	No	
row_7	FOXH1	200	-2.810940742492676	-1.900153E-4	No	
row_8	NAGS	219	-2.8285484313964844	0.0046646707	No	
row_9	P2RY11	239	-2.8537685871124268	0.008671446	No	
row_10	COL4A3	247	-2.858926296234131	0.02546077	No	
row_11	EDNRA	262	-2.8734564781188965	0.034942195	No	
row_12	GABRB3	334	-2.9434022903442383	-0.0154933715	No	
row_13	MYO7A	336	-2.946808338165283	0.008409902	No	
row_14	PDZD7	342	-2.956271171569824	0.028147057	No	
row_15	OSTM1	344	-2.9578986167907715	0.052144285	No	
row_16	COL7A1	371	-2.988760471343994	0.04986369	No	
row_17	SLC2A1	382	-3.0105245113372803	0.064752616	No	
row_18	MIF	506	-3.222379446029663	-0.038521208	No	
row_19	RNF125	638	-3.5346028804779053	-0.1476425	No	
row_20	MLXIPL	734	-3.8722946643829346	-0.21568635	No	
row_21	ATP8B1	825	-4.176084995269775	-0.2758487	No	
row_22	P4HA2	868	-4.281909465789795	-0.2841591	Yes	
row_23	KCNN4	880	-4.350986003875732	-0.2589756	Yes	
row_24	SNORD118	895	-4.451511859893799	-0.23612516	Yes	
row_25	CDKN2B	907	-4.585554122924805	-0.20895444	Yes	
row_26	PRPH	919	-4.656430721282959	-0.18118325	Yes	
row_27	ANXA11	920	-4.6724066734313965	-0.14159945	Yes	
row_28	CDKN2A	932	-4.7787909507751465	-0.11279164	Yes	
row_29	TLR4	939	-4.897897720336914	-0.07766694	Yes	
row_30	HMOX1	968	-6.207196235656738	-0.054804653	Yes	
row_31	FOCAD	972	-6.970276355743408	0.0010615961	Yes	
