NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	GABBR2	12	3.9163670539855957	0.025586564	Yes	
row_1	FRMPD4	21	3.6995248794555664	0.05329365	Yes	
row_2	FGF12	25	3.5963900089263916	0.085294046	Yes	
row_3	DDB2	48	3.1851563453674316	0.09312307	Yes	
row_4	PAX6	63	3.040254592895508	0.10801817	Yes	
row_5	TMEM98	80	2.915178060531616	0.1195688	Yes	
row_6	WNT3	93	2.8484997749328613	0.13470894	Yes	
row_7	SLC38A3	100	2.802264451980591	0.15575945	Yes	
row_8	IFT88	106	2.7914369106292725	0.1777645	Yes	
row_9	ZIC1	109	2.7676703929901123	0.20271838	Yes	
row_10	RPE65	116	2.7320938110351562	0.22308244	Yes	
row_11	TIMMDC1	118	2.7245638370513916	0.24867508	Yes	
row_12	NR2F1	153	-2.758596897125244	0.23960595	Yes	
row_13	GATA2	173	-2.790175437927246	0.24675241	Yes	
row_14	FGF13	180	-2.796806573867798	0.26774952	Yes	
row_15	PDGFB	194	-2.8065645694732666	0.28141898	Yes	
row_16	GP1BA	231	-2.8445708751678467	0.27107	No	
row_17	OSTM1	344	-2.9578986167907715	0.18123579	No	
row_18	NEFL	408	-3.058987617492676	0.14435232	No	
row_19	ADA2	420	-3.0808064937591553	0.16282545	No	
row_20	BRAT1	444	-3.123021364212036	0.1689862	No	
row_21	EEF1A2	474	-3.1831092834472656	0.16937208	No	
row_22	SLC52A2	476	-3.185187816619873	0.19947077	No	
row_23	KCNC3	572	-3.386237144470215	0.13185437	No	
row_24	RNF135	647	-3.559652090072632	0.08820374	No	
row_25	CACNA2D1	720	-3.829848527908325	0.049317215	No	
row_26	PIEZO2	745	-3.903825521469116	0.062055748	No	
row_27	TCIRG1	794	-4.065958023071289	0.05092965	No	
row_28	P4HA2	868	-4.281909465789795	0.015404965	No	
row_29	TSEN54	921	-4.692781448364258	0.0061689937	No	
row_30	TLR4	939	-4.897897720336914	0.036055166	No	
