NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SLC4A1	127	-2.732518434524536	-0.08680603	No	
row_1	ENPP1	193	-2.806049346923828	-0.10766246	No	
row_2	NAGS	219	-2.8285484313964844	-0.08638845	No	
row_3	COL1A2	398	-3.0397632122039795	-0.22128491	No	
row_4	ADA2	420	-3.0808064937591553	-0.19161093	No	
row_5	RNF125	638	-3.5346028804779053	-0.35893008	Yes	
row_6	FLNC	672	-3.6485278606414795	-0.3322745	Yes	
row_7	GUCY1A1	726	-3.8453164100646973	-0.3232001	Yes	
row_8	MLXIPL	734	-3.8722946643829346	-0.2656572	Yes	
row_9	ENG	754	-3.9353389739990234	-0.21958457	Yes	
row_10	TCIRG1	794	-4.065958023071289	-0.19220129	Yes	
row_11	P4HA2	868	-4.281909465789795	-0.19669203	Yes	
row_12	KCNN4	880	-4.350986003875732	-0.13530779	Yes	
row_13	TERC	887	-4.369791030883789	-0.06838941	Yes	
row_14	NKX2-5	891	-4.421444416046143	0.002525548	Yes	
row_15	TLR4	939	-4.897897720336914	0.035490703	Yes	
