NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SOX10	49	3.172832489013672	0.00391311	No	
row_1	COL13A1	402	-3.0478408336639404	-0.3106268	Yes	
row_2	NEFL	408	-3.058987617492676	-0.26276034	Yes	
row_3	TTN	469	-3.168562173843384	-0.2704036	Yes	
row_4	PLEKHG4	473	-3.1772525310516357	-0.21839708	Yes	
row_5	SLC52A2	476	-3.185187816619873	-0.16520901	Yes	
row_6	TYMP	546	-3.3200037479400635	-0.17961872	Yes	
row_7	DKK1	548	-3.323007583618164	-0.122995086	Yes	
row_8	MYH14	566	-3.36981201171875	-0.08226067	Yes	
row_9	HSPB8	593	-3.4262049198150635	-0.04994218	Yes	
row_10	PLEC	631	-3.517745018005371	-0.027517362	Yes	
row_11	TNNT1	645	-3.551190137863159	0.020540059	Yes	
row_12	PIEZO2	745	-3.903825521469116	-0.015053246	Yes	
row_13	HSPB1	853	-4.240479946136475	-0.053154975	Yes	
row_14	ANXA11	920	-4.6724066734313965	-0.040963553	Yes	
row_15	KLHL9	956	-5.488257884979248	0.017745228	Yes	
