NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	NEFL	408	-3.058987617492676	-0.36839348	Yes	
row_1	JAG2	448	-3.1277987957000732	-0.35072786	Yes	
row_2	TTN	469	-3.168562173843384	-0.31248966	Yes	
row_3	CPT1A	501	-3.214334487915039	-0.28486812	Yes	
row_4	MYH14	566	-3.36981201171875	-0.28875777	Yes	
row_5	POPDC3	615	-3.4741528034210205	-0.27401745	Yes	
row_6	COL6A3	617	-3.48250412940979	-0.210112	Yes	
row_7	LTBP4	630	-3.517697811126709	-0.15702046	Yes	
row_8	PLEC	631	-3.517745018005371	-0.091415025	Yes	
row_9	TNNT1	645	-3.551190137863159	-0.03874162	Yes	
row_10	FLNC	672	-3.6485278606414795	0.0021913366	Yes	
row_11	MLXIPL	734	-3.8722946643829346	0.010801159	Yes	
row_12	PIEZO2	745	-3.903825521469116	0.073179424	Yes	
row_13	SVIL	787	-4.039867401123047	0.10576951	Yes	
row_14	ANXA11	920	-4.6724066734313965	0.055265855	Yes	
