NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	DDB2	48	3.1851563453674316	-0.015525635	No	
row_1	PTPN3	51	3.157999277114868	0.017172603	No	
row_2	PDGFRA	72	2.970909357070923	0.02882137	No	
row_3	PON2	86	2.881220579147339	0.046865538	No	
row_4	RABL3	99	2.8131723403930664	0.06521452	No	
row_5	EPAS1	104	2.793264627456665	0.0917829	No	
row_6	SLC4A1	127	-2.732518434524536	0.09869438	No	
row_7	GATA2	173	-2.790175437927246	0.08197976	No	
row_8	NAGS	219	-2.8285484313964844	0.065688096	No	
row_9	FAM13A	233	-2.8469350337982178	0.08335436	No	
row_10	RET	292	-2.8974151611328125	0.054108676	No	
row_11	TSHR	323	-2.9305002689361572	0.054763526	No	
row_12	COL1A2	398	-3.0397632122039795	0.010209184	No	
row_13	TTN	469	-3.168562173843384	-0.028706105	No	
row_14	FHL2	500	-3.213005304336548	-0.024937443	No	
row_15	CPT1A	501	-3.214334487915039	0.0104914345	No	
row_16	NFKB2	544	-3.315506935119629	0.0027316567	No	
row_17	PLEC	631	-3.517745018005371	-0.049212523	No	
row_18	P4HA2	868	-4.281909465789795	-0.2509618	Yes	
row_19	KCNN4	880	-4.350986003875732	-0.21460795	Yes	
row_20	TERC	887	-4.369791030883789	-0.17277257	Yes	
row_21	NKX2-5	891	-4.421444416046143	-0.12720332	Yes	
row_22	PRPH	919	-4.656430721282959	-0.10436044	Yes	
row_23	ANXA11	920	-4.6724066734313965	-0.052860465	Yes	
row_24	CDKN2A	932	-4.7787909507751465	-0.011791287	Yes	
row_25	TLR4	939	-4.897897720336914	0.035864968	Yes	
