NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	DDB2	48	3.1851563453674316	-0.028297061	Yes	
row_1	SOX10	49	3.172832489013672	-0.005126655	Yes	
row_2	EPAS1	104	2.793264627456665	-0.042730287	Yes	
row_3	IFT88	106	2.7914369106292725	-0.023419231	Yes	
row_4	ZIC1	109	2.7676703929901123	-0.005355851	Yes	
row_5	RPE65	116	2.7320938110351562	0.008151268	Yes	
row_6	TIMMDC1	118	2.7245638370513916	0.026973967	Yes	
row_7	KCNQ2	132	-2.735244035720825	0.032985292	Yes	
row_8	MEOX1	160	-2.7664220333099365	0.02418671	Yes	
row_9	GATA2	173	-2.790175437927246	0.0316733	Yes	
row_10	ENPP1	193	-2.806049346923828	0.03175702	Yes	
row_11	PDGFB	194	-2.8065645694732666	0.05225266	Yes	
row_12	FOXH1	200	-2.810940742492676	0.067409694	Yes	
row_13	GP1BA	231	-2.8445708751678467	0.05595947	Yes	
row_14	COL4A3	247	-2.858926296234131	0.06072579	Yes	
row_15	RET	292	-2.8974151611328125	0.034623884	Yes	
row_16	TRDN	314	-2.918647527694702	0.03338165	Yes	
row_17	PAX3	315	-2.919020891189575	0.054698534	Yes	
row_18	KYNU	322	-2.9301695823669434	0.06965215	Yes	
row_19	GABRB3	334	-2.9434022903442383	0.07933183	Yes	
row_20	MYO7A	336	-2.946808338165283	0.09977753	Yes	
row_21	DVL1	338	-2.9507997035980225	0.12025237	Yes	
row_22	UNC13D	339	-2.951503276824951	0.14180647	Yes	
row_23	PDZD7	342	-2.956271171569824	0.16124715	Yes	
row_24	TPRN	346	-2.9599862098693848	0.17964084	Yes	
row_25	COL13A1	402	-3.0478408336639404	0.1428222	Yes	
row_26	NEFL	408	-3.058987617492676	0.15979066	Yes	
row_27	ADA2	420	-3.0808064937591553	0.17047377	Yes	
row_28	GJB2	433	-3.109480857849121	0.18029217	Yes	
row_29	SLC5A5	439	-3.117771863937378	0.19768992	Yes	
row_30	TTN	469	-3.168562173843384	0.18967983	Yes	
row_31	SLC52A2	476	-3.185187816619873	0.20649579	Yes	
row_32	FHL2	500	-3.213005304336548	0.20525494	Yes	
row_33	TYMP	546	-3.3200037479400635	0.18116498	Yes	
row_34	DKK1	548	-3.323007583618164	0.20435797	Yes	
row_35	MYH14	566	-3.36981201171875	0.21070693	Yes	
row_36	GLI3	586	-3.4077069759368896	0.2151844	Yes	
row_37	ANKH	637	-3.5316379070281982	0.18726939	No	
row_38	MLXIPL	734	-3.8722946643829346	0.11243285	No	
row_39	P4HA2	868	-4.281909465789795	8.454295E-4	No	
row_40	NKX2-5	891	-4.421444416046143	0.009503632	No	
row_41	TLR4	939	-4.897897720336914	-0.0052115917	No	
row_42	SEMA3C	960	-5.567404270172119	0.013963498	No	
