NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	MASP1	64	3.0248777866363525	-0.014600433	Yes	
row_1	PDGFRA	72	2.970909357070923	0.029549826	Yes	
row_2	EPAS1	104	2.793264627456665	0.045490958	Yes	
row_3	IFT88	106	2.7914369106292725	0.092814036	Yes	
row_4	RPE65	116	2.7320938110351562	0.13073185	Yes	
row_5	MEOX1	160	-2.7664220333099365	0.1336424	Yes	
row_6	ENPP1	193	-2.806049346923828	0.14875795	Yes	
row_7	EDNRA	262	-2.8734564781188965	0.1273452	Yes	
row_8	RET	292	-2.8974151611328125	0.1471853	Yes	
row_9	LRRC56	328	-2.9381189346313477	0.161448	Yes	
row_10	DVL1	338	-2.9507997035980225	0.20315555	Yes	
row_11	OSTM1	344	-2.9578986167907715	0.24917461	Yes	
row_12	RSPH9	361	-2.977276086807251	0.2840111	Yes	
row_13	COL1A2	398	-3.0397632122039795	0.29898798	Yes	
row_14	GJB2	433	-3.109480857849121	0.31726718	Yes	
row_15	IQSEC2	434	-3.11313533782959	0.37121177	Yes	
row_16	CCNO	463	-3.1539077758789062	0.3965435	Yes	
row_17	ANKH	637	-3.5316379070281982	0.27658814	No	
row_18	P4HA2	868	-4.281909465789795	0.10994762	No	
