NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PDGFRA	72	2.970909357070923	-0.052218877	No	
row_1	PON2	86	2.881220579147339	-0.04240771	No	
row_2	RABL3	99	2.8131723403930664	-0.032091063	No	
row_3	EPAS1	104	2.793264627456665	-0.013427123	No	
row_4	TIMMDC1	118	2.7245638370513916	-0.004901356	No	
row_5	KCNQ2	132	-2.735244035720825	0.0037120455	No	
row_6	GATA2	173	-2.790175437927246	-0.015947234	No	
row_7	FGF13	180	-2.796806573867798	6.18109E-4	No	
row_8	ENPP1	193	-2.806049346923828	0.010876311	No	
row_9	PDGFB	194	-2.8065645694732666	0.033904698	No	
row_10	FOXH1	200	-2.810940742492676	0.051649842	No	
row_11	CTRC	213	-2.8227877616882324	0.062045384	No	
row_12	NAGS	219	-2.8285484313964844	0.07993501	No	
row_13	EDNRA	262	-2.8734564781188965	0.0588314	No	
row_14	CYP24A1	264	-2.8751602172851562	0.0813588	No	
row_15	RET	292	-2.8974151611328125	0.07640923	No	
row_16	KYNU	322	-2.9301695823669434	0.06960075	No	
row_17	ACSL5	383	-3.012366771697998	0.030488	No	
row_18	RHBDF2	502	-3.218350887298584	-0.068636745	No	
row_19	RNH1	514	-3.241299867630005	-0.053743396	No	
row_20	TYMP	546	-3.3200037479400635	-0.05948087	No	
row_21	PLEC	631	-3.517745018005371	-0.119978815	No	
row_22	LAMA3	648	-3.565378189086914	-0.1077455	No	
row_23	SYT1	694	-3.7537293434143066	-0.12481778	No	
row_24	MLXIPL	734	-3.8722946643829346	-0.13453424	No	
row_25	MSX2	819	-4.1554789543151855	-0.18979946	No	
row_26	CDKN2B	907	-4.585554122924805	-0.24472733	Yes	
row_27	PRPH	919	-4.656430721282959	-0.21822257	Yes	
row_28	ANXA11	920	-4.6724066734313965	-0.1798846	Yes	
row_29	CDKN2A	932	-4.7787909507751465	-0.15237586	Yes	
row_30	TLR4	939	-4.897897720336914	-0.11857067	Yes	
row_31	SEMA3C	960	-5.567404270172119	-0.094165675	Yes	
row_32	OPLAH	964	-5.932265758514404	-0.048681814	Yes	
row_33	FOCAD	972	-6.970276355743408	0.0010637962	Yes	
