NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	FGF12	25	3.5963900089263916	0.009618539	Yes	
row_1	SOX10	49	3.172832489013672	0.017102873	Yes	
row_2	LMBRD1	97	2.832458257675171	-0.0042829174	Yes	
row_3	SLC38A3	100	2.802264451980591	0.021748008	Yes	
row_4	KCNQ2	132	-2.735244035720825	0.016352722	Yes	
row_5	FGF13	180	-2.796806573867798	-0.0053912285	Yes	
row_6	HR	187	-2.8003194332122803	0.016378375	Yes	
row_7	VDR	188	-2.8004226684570312	0.04451169	Yes	
row_8	ENPP1	193	-2.806049346923828	0.06845975	Yes	
row_9	H1-4	205	-2.8135929107666016	0.08506047	Yes	
row_10	NAGS	219	-2.8285484313964844	0.09969055	Yes	
row_11	KYNU	322	-2.9301695823669434	0.020961877	Yes	
row_12	TSHR	323	-2.9305002689361572	0.050401963	Yes	
row_13	UNC13D	339	-2.951503276824951	0.06414636	Yes	
row_14	OSTM1	344	-2.9578986167907715	0.08961991	Yes	
row_15	COL7A1	371	-2.988760471343994	0.0920737	Yes	
row_16	SLC2A1	382	-3.0105245113372803	0.11171327	Yes	
row_17	ACSL5	383	-3.012366771697998	0.14197579	Yes	
row_18	LAT	404	-3.050567388534546	0.15141317	Yes	
row_19	ADA2	420	-3.0808064937591553	0.16645657	Yes	
row_20	GJB2	433	-3.109480857849121	0.18496937	Yes	
row_21	BRAT1	444	-3.123021364212036	0.20573908	Yes	
row_22	ANK1	450	-3.1319949626922607	0.23190117	Yes	
row_23	TTN	469	-3.168562173843384	0.24464484	Yes	
row_24	EEF1A2	474	-3.1831092834472656	0.2723809	Yes	
row_25	KCNQ3	604	-3.4601972103118896	0.17034489	No	
row_26	RNF125	638	-3.5346028804779053	0.17085914	No	
row_27	TNNT1	645	-3.551190137863159	0.20017207	No	
row_28	LAMA3	648	-3.565378189086914	0.2338693	No	
row_29	GUCY1A1	726	-3.8453164100646973	0.19084541	No	
row_30	FOCAD	972	-6.970276355743408	0.0010603417	No	
