NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PON2	86	2.881220579147339	-0.043972015	No	
row_1	RABL3	99	2.8131723403930664	-0.011702931	No	
row_2	EPAS1	104	2.793264627456665	0.028608516	No	
row_3	GATA2	173	-2.790175437927246	0.0019951086	No	
row_4	CTRC	213	-2.8227877616882324	0.0062041814	No	
row_5	CYP24A1	264	-2.8751602172851562	-2.4680956E-4	No	
row_6	RET	292	-2.8974151611328125	0.017690113	No	
row_7	TSHR	323	-2.9305002689361572	0.03301922	No	
row_8	RHBDF2	502	-3.218350887298584	-0.10171673	No	
row_9	TYMP	546	-3.3200037479400635	-0.09376772	No	
row_10	P4HA2	868	-4.281909465789795	-0.36098856	Yes	
row_11	CDKN2B	907	-4.585554122924805	-0.3276572	Yes	
row_12	PRPH	919	-4.656430721282959	-0.2649837	Yes	
row_13	ANXA11	920	-4.6724066734313965	-0.19056153	Yes	
row_14	CDKN2A	932	-4.7787909507751465	-0.1259391	Yes	
row_15	TLR4	939	-4.897897720336914	-0.05419488	Yes	
row_16	SEMA3C	960	-5.567404270172119	0.013584208	Yes	
