NAME	ORIGINAL SIZE	AFTER RESTRICTING TO DATASET	STATUS	
GOBP_10_FORMYLTETRAHYDROFOLATE_METABOLIC_PROCESS	5		Rejected!	
GOBP_2FE_2S_CLUSTER_ASSEMBLY	11		Rejected!	
GOBP_2_OXOGLUTARATE_METABOLIC_PROCESS	17		Rejected!	
GOBP_3_PHOSPHOADENOSINE_5_PHOSPHOSULFATE_METABOLIC_PROCESS	17		Rejected!	
GOBP_3_UTR_MEDIATED_MRNA_DESTABILIZATION	19		Rejected!	
GOBP_3_UTR_MEDIATED_MRNA_STABILIZATION	26		Rejected!	
GOBP_4FE_4S_CLUSTER_ASSEMBLY	5		Rejected!	
GOBP_4_HYDROXYPROLINE_METABOLIC_PROCESS	12		Rejected!	
GOBP_5S_CLASS_RRNA_TRANSCRIPTION_BY_RNA_POLYMERASE_III	6		Rejected!	
GOBP_5_PHOSPHORIBOSE_1_DIPHOSPHATE_METABOLIC_PROCESS	6		Rejected!	
GOBP_7_METHYLGUANOSINE_CAP_HYPERMETHYLATION	8		Rejected!	
GOBP_7_METHYLGUANOSINE_RNA_CAPPING	8		Rejected!	
GOBP_ABSCISSION	6		Rejected!	
GOBP_ACETATE_ESTER_METABOLIC_PROCESS	6		Rejected!	
GOBP_ACETATE_ESTER_TRANSPORT	9		Rejected!	
GOBP_ACETYLCHOLINE_SECRETION	5		Rejected!	
GOBP_ACETYL_COA_BIOSYNTHETIC_PROCESS	18		Rejected!	
GOBP_ACETYL_COA_BIOSYNTHETIC_PROCESS_FROM_PYRUVATE	11		Rejected!	
GOBP_ACETYL_COA_METABOLIC_PROCESS	33		Rejected!	
GOBP_ACIDIC_AMINO_ACID_TRANSPORT	67		Rejected!	
GOBP_ACID_SECRETION	45		Rejected!	
GOBP_ACINAR_CELL_DIFFERENTIATION	5		Rejected!	
GOBP_ACROSOMAL_VESICLE_EXOCYTOSIS	9		Rejected!	
GOBP_ACROSOME_ASSEMBLY	30		Rejected!	
GOBP_ACROSOME_REACTION	41		Rejected!	
GOBP_ACTIN_CROSSLINK_FORMATION	14		Rejected!	
GOBP_ACTIN_FILAMENT_BASED_MOVEMENT	140		Rejected!	
GOBP_ACTIN_FILAMENT_BASED_PROCESS	834	38		
GOBP_ACTIN_FILAMENT_BASED_TRANSPORT	10		Rejected!	
GOBP_ACTIN_FILAMENT_BUNDLE_ORGANIZATION	170		Rejected!	
GOBP_ACTIN_FILAMENT_DEPOLYMERIZATION	58		Rejected!	
GOBP_ACTIN_FILAMENT_NETWORK_FORMATION	9		Rejected!	
GOBP_ACTIN_FILAMENT_ORGANIZATION	466	20		
GOBP_ACTIN_FILAMENT_SEVERING	16		Rejected!	
GOBP_ACTIN_MEDIATED_CELL_CONTRACTION	115		Rejected!	
GOBP_ACTIN_MODIFICATION	5		Rejected!	
GOBP_ACTIN_MYOSIN_FILAMENT_SLIDING	16		Rejected!	
GOBP_ACTIN_NUCLEATION	58		Rejected!	
GOBP_ACTIN_POLYMERIZATION_DEPENDENT_CELL_MOTILITY	7		Rejected!	
GOBP_ACTIN_POLYMERIZATION_OR_DEPOLYMERIZATION	196		Rejected!	
GOBP_ACTION_POTENTIAL	171		Rejected!	
GOBP_ACTIVATED_T_CELL_PROLIFERATION	49		Rejected!	
GOBP_ACTIVATION_INDUCED_CELL_DEATH_OF_T_CELLS	9		Rejected!	
GOBP_ACTIVATION_OF_ADENYLATE_CYCLASE_ACTIVITY	24		Rejected!	
GOBP_ACTIVATION_OF_CYSTEINE_TYPE_ENDOPEPTIDASE_ACTIVITY	13		Rejected!	
GOBP_ACTIVATION_OF_CYSTEINE_TYPE_ENDOPEPTIDASE_ACTIVITY_INVOLVED_IN_APOPTOTIC_PROCESS	72		Rejected!	
GOBP_ACTIVATION_OF_CYSTEINE_TYPE_ENDOPEPTIDASE_ACTIVITY_INVOLVED_IN_APOPTOTIC_PROCESS_BY_CYTOCHROME_C	5		Rejected!	
GOBP_ACTIVATION_OF_GTPASE_ACTIVITY	99		Rejected!	
GOBP_ACTIVATION_OF_IMMUNE_RESPONSE	583	21		
GOBP_ACTIVATION_OF_INNATE_IMMUNE_RESPONSE	312		Rejected!	
GOBP_ACTIVATION_OF_JANUS_KINASE_ACTIVITY	13		Rejected!	
GOBP_ACTIVATION_OF_MEIOSIS	6		Rejected!	
GOBP_ACTIVATION_OF_NF_KAPPAB_INDUCING_KINASE_ACTIVITY	10		Rejected!	
GOBP_ACTIVATION_OF_PHOSPHOLIPASE_C_ACTIVITY	24		Rejected!	
GOBP_ACTIVATION_OF_PROTEIN_KINASE_ACTIVITY	77		Rejected!	
GOBP_ACTIVATION_OF_PROTEIN_KINASE_B_ACTIVITY	21		Rejected!	
GOBP_ACTIVATION_OF_PROTEIN_KINASE_C_ACTIVITY	5		Rejected!	
GOBP_ACTIVATION_OF_TRANSMEMBRANE_RECEPTOR_PROTEIN_TYROSINE_KINASE_ACTIVITY	6		Rejected!	
GOBP_ACTIVIN_RECEPTOR_SIGNALING_PATHWAY	52		Rejected!	
GOBP_ACTOMYOSIN_CONTRACTILE_RING_ORGANIZATION	10		Rejected!	
GOBP_ACTOMYOSIN_STRUCTURE_ORGANIZATION	216		Rejected!	
GOBP_ACUTE_INFLAMMATORY_RESPONSE	108		Rejected!	
GOBP_ACUTE_INFLAMMATORY_RESPONSE_TO_ANTIGENIC_STIMULUS	29		Rejected!	
GOBP_ACUTE_PHASE_RESPONSE	47		Rejected!	
GOBP_ACYLGLYCEROL_HOMEOSTASIS	45		Rejected!	
GOBP_ACYLGLYCEROL_TRANSPORT	8		Rejected!	
GOBP_ACYL_COA_METABOLIC_PROCESS	96		Rejected!	
GOBP_ADAPTIVE_IMMUNE_MEMORY_RESPONSE	6		Rejected!	
GOBP_ADAPTIVE_IMMUNE_RESPONSE	756	20		
GOBP_ADAPTIVE_IMMUNE_RESPONSE_BASED_ON_SOMATIC_RECOMBINATION_OF_IMMUNE_RECEPTORS_BUILT_FROM_IMMUNOGLOBULIN_SUPERFAMILY_DOMAINS	381		Rejected!	
GOBP_ADAPTIVE_THERMOGENESIS	169		Rejected!	
GOBP_ADENINE_TRANSPORT	6		Rejected!	
GOBP_ADENOHYPOPHYSIS_DEVELOPMENT	16		Rejected!	
GOBP_ADENOSINE_METABOLIC_PROCESS	11		Rejected!	
GOBP_ADENOSINE_TO_INOSINE_EDITING	6		Rejected!	
GOBP_ADENOSINE_TRANSPORT	5		Rejected!	
GOBP_ADENYLATE_CYCLASE_ACTIVATING_ADRENERGIC_RECEPTOR_SIGNALING_PATHWAY	24		Rejected!	
GOBP_ADENYLATE_CYCLASE_ACTIVATING_DOPAMINE_RECEPTOR_SIGNALING_PATHWAY	10		Rejected!	
GOBP_ADENYLATE_CYCLASE_ACTIVATING_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY	171		Rejected!	
GOBP_ADENYLATE_CYCLASE_INHIBITING_DOPAMINE_RECEPTOR_SIGNALING_PATHWAY	6		Rejected!	
GOBP_ADENYLATE_CYCLASE_INHIBITING_G_PROTEIN_COUPLED_ACETYLCHOLINE_RECEPTOR_SIGNALING_PATHWAY	8		Rejected!	
GOBP_ADENYLATE_CYCLASE_INHIBITING_G_PROTEIN_COUPLED_GLUTAMATE_RECEPTOR_SIGNALING_PATHWAY	9		Rejected!	
GOBP_ADENYLATE_CYCLASE_INHIBITING_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY	80		Rejected!	
GOBP_ADENYLATE_CYCLASE_INHIBITING_SEROTONIN_RECEPTOR_SIGNALING_PATHWAY	7		Rejected!	
