NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
GOBP_RNA_PROCESSING	GOBP_RNA_PROCESSING	Details ...	150	-0.64146453	-5.459284	0.0	0.0	0.0	279	tags=79%, list=29%, signal=93%	
GOCC_NUCLEOLUS	GOCC_NUCLEOLUS	Details ...	148	-0.5906613	-5.112204	0.0	0.0	0.0	279	tags=74%, list=29%, signal=88%	
GOBP_MRNA_PROCESSING	GOBP_MRNA_PROCESSING	Details ...	16	-0.49019215	-2.101654	0.0014204546	0.22986524	0.656	260	tags=69%, list=27%, signal=92%	
GOCC_RIBONUCLEOPROTEIN_COMPLEX	GOCC_RIBONUCLEOPROTEIN_COMPLEX	Details ...	30	-0.39323005	-2.096898	0.0	0.18043736	0.674	260	tags=57%, list=27%, signal=75%	
GOBP_RNA_SPLICING	GOBP_RNA_SPLICING	Details ...	18	-0.4744675	-2.0936627	0.005602241	0.14911516	0.688	260	tags=67%, list=27%, signal=89%	
HP_ABNORMALITY_OF_THE_PANCREAS	HP_ABNORMALITY_OF_THE_PANCREAS	Details ...	15	-0.4997282	-2.012264	0.0028409092	0.2450541	0.893	150	tags=53%, list=15%, signal=62%	
HP_WEIGHT_LOSS	HP_WEIGHT_LOSS	Details ...	17	-0.4291909	-1.8760402	0.013831259	0.5501541	0.999	107	tags=41%, list=11%, signal=45%	
HP_ABNORMAL_VASCULAR_PHYSIOLOGY	HP_ABNORMAL_VASCULAR_PHYSIOLOGY	Details ...	16	-0.4181245	-1.7710519	0.019444445	0.9507462	1.0	337	tags=69%, list=35%, signal=103%	
HP_ABNORMAL_EMOTION	HP_ABNORMAL_EMOTION	Details ...	32	-0.3204347	-1.7326869	0.01754386	1.0	1.0	107	tags=31%, list=11%, signal=34%	
HP_ELEVATED_CIRCULATING_CREATINE_KINASE_CONCENTRATION	HP_ELEVATED_CIRCULATING_CREATINE_KINASE_CONCENTRATION	Details ...	15	-0.42544317	-1.7305752	0.028612303	0.9662387	1.0	567	tags=100%, list=58%, signal=236%	
HP_ABDOMINAL_PAIN	HP_ABDOMINAL_PAIN	Details ...	24	-0.34548718	-1.704702	0.020645162	1.0	1.0	181	tags=42%, list=19%, signal=50%	
GOBP_PROTEIN_DNA_COMPLEX_ORGANIZATION	GOBP_PROTEIN_DNA_COMPLEX_ORGANIZATION	Details ...	26	-0.3339177	-1.700012	0.031209363	0.9624189	1.0	42	tags=23%, list=4%, signal=23%	
GOCC_NUCLEAR_BODY	GOCC_NUCLEAR_BODY	Details ...	29	-0.31821737	-1.6857843	0.03178808	0.9647572	1.0	283	tags=52%, list=29%, signal=71%	
GOBP_CHROMATIN_REMODELING	GOBP_CHROMATIN_REMODELING	Details ...	19	-0.3682742	-1.6473733	0.033333335	1.0	1.0	42	tags=26%, list=4%, signal=27%	
GOCC_CELL_SUBSTRATE_JUNCTION	GOCC_CELL_SUBSTRATE_JUNCTION	Details ...	15	-0.39442968	-1.5950439	0.050143268	1.0	1.0	507	tags=87%, list=52%, signal=178%	
HP_NAUSEA_AND_VOMITING	HP_NAUSEA_AND_VOMITING	Details ...	34	-0.28235266	-1.582467	0.05505762	1.0	1.0	68	tags=24%, list=7%, signal=24%	
GOCC_PERINUCLEAR_REGION_OF_CYTOPLASM	GOCC_PERINUCLEAR_REGION_OF_CYTOPLASM	Details ...	32	-0.28324267	-1.5556864	0.060759492	1.0	1.0	49	tags=22%, list=5%, signal=22%	
HP_ABNORMALITY_OF_BLOOD_CIRCULATION	HP_ABNORMALITY_OF_BLOOD_CIRCULATION	Details ...	19	-0.3427512	-1.5429214	0.05957447	1.0	1.0	88	tags=32%, list=9%, signal=34%	
HP_FATIGUE	HP_FATIGUE	Details ...	26	-0.29815766	-1.533439	0.062586926	1.0	1.0	107	tags=31%, list=11%, signal=34%	
HP_AREFLEXIA	HP_AREFLEXIA	Details ...	16	-0.36351904	-1.5223553	0.054093566	1.0	1.0	573	tags=94%, list=59%, signal=224%	
HP_ABNORMAL_MUSCLE_FIBER_MORPHOLOGY	HP_ABNORMAL_MUSCLE_FIBER_MORPHOLOGY		16	-0.36647347	-1.5221663	0.06382979	1.0	1.0	573	tags=94%, list=59%, signal=224%	
GOCC_NUCLEAR_PROTEIN_CONTAINING_COMPLEX	GOCC_NUCLEAR_PROTEIN_CONTAINING_COMPLEX		36	-0.261586	-1.4951484	0.0799508	1.0	1.0	378	tags=56%, list=39%, signal=87%	
HP_SOMATIC_SENSORY_DYSFUNCTION	HP_SOMATIC_SENSORY_DYSFUNCTION		22	-0.31108987	-1.4866405	0.06594886	1.0	1.0	593	tags=91%, list=61%, signal=227%	
HP_EMG_ABNORMALITY	HP_EMG_ABNORMALITY		18	-0.3301665	-1.4595184	0.08493151	1.0	1.0	573	tags=89%, list=59%, signal=212%	
HP_ABNORMALITY_OF_THE_UPPER_RESPIRATORY_TRACT	HP_ABNORMALITY_OF_THE_UPPER_RESPIRATORY_TRACT		26	-0.2855946	-1.4585962	0.091511935	1.0	1.0	107	tags=31%, list=11%, signal=34%	
HP_ABNORMALITY_OF_MUSCLE_SIZE	HP_ABNORMALITY_OF_MUSCLE_SIZE		38	-0.24526125	-1.4444251	0.09876543	1.0	1.0	573	tags=79%, list=59%, signal=184%	
GOBP_MRNA_METABOLIC_PROCESS	GOBP_MRNA_METABOLIC_PROCESS		24	-0.28957292	-1.4344218	0.11859838	1.0	1.0	369	tags=58%, list=38%, signal=92%	
HP_LIMB_MUSCLE_WEAKNESS	HP_LIMB_MUSCLE_WEAKNESS		21	-0.30277762	-1.4100667	0.09739369	1.0	1.0	573	tags=86%, list=59%, signal=204%	
HP_DEPRESSION	HP_DEPRESSION		20	-0.30589616	-1.4088624	0.11517615	1.0	1.0	150	tags=35%, list=15%, signal=41%	
GOBP_RIBONUCLEOPROTEIN_COMPLEX_BIOGENESIS	GOBP_RIBONUCLEOPROTEIN_COMPLEX_BIOGENESIS		18	-0.3146874	-1.4069419	0.11287989	1.0	1.0	260	tags=50%, list=27%, signal=67%	
HP_ABNORMAL_PYRAMIDAL_SIGN	HP_ABNORMAL_PYRAMIDAL_SIGN		15	-0.34835067	-1.400493	0.12831858	1.0	1.0	80	tags=33%, list=8%, signal=36%	
HP_ABNORMAL_EXTEROCEPTIVE_SENSATION	HP_ABNORMAL_EXTEROCEPTIVE_SENSATION		16	-0.33197924	-1.3949946	0.100550964	1.0	1.0	593	tags=94%, list=61%, signal=236%	
HP_ABNORMAL_PALM_MORPHOLOGY	HP_ABNORMAL_PALM_MORPHOLOGY		18	-0.30835268	-1.356979	0.14820144	1.0	1.0	357	tags=61%, list=37%, signal=95%	
HP_ABNORMAL_TOE_MORPHOLOGY	HP_ABNORMAL_TOE_MORPHOLOGY		27	-0.265789	-1.3562862	0.13572343	1.0	1.0	404	tags=63%, list=41%, signal=105%	
HP_ACUTE_PHASE_RESPONSE	HP_ACUTE_PHASE_RESPONSE		17	-0.31177768	-1.3501754	0.14742698	1.0	1.0	107	tags=29%, list=11%, signal=32%	
