NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
HP_FUNCTIONAL_ABNORMALITY_OF_THE_MIDDLE_EAR	HP_FUNCTIONAL_ABNORMALITY_OF_THE_MIDDLE_EAR	Details ...	19	0.3965435	2.2129462	0.0036363637	0.6664159	0.27	463	tags=89%, list=48%, signal=167%	
GOCC_CILIUM	GOCC_CILIUM	Details ...	29	0.30841014	2.1690629	0.0	0.43631274	0.336	641	tags=97%, list=66%, signal=274%	
GOBP_REPRODUCTIVE_PROCESS	GOBP_REPRODUCTIVE_PROCESS	Details ...	52	0.2322713	2.1061487	0.0	0.41004345	0.429	563	tags=85%, list=58%, signal=190%	
GOCC_SIDE_OF_MEMBRANE	GOCC_SIDE_OF_MEMBRANE	Details ...	32	0.2745958	2.0119507	0.0044444446	0.5218723	0.609	231	tags=53%, list=24%, signal=67%	
GOBP_RESPONSE_TO_HORMONE	GOBP_RESPONSE_TO_HORMONE	Details ...	34	0.27729306	1.9559827	0.01010101	0.57067174	0.731	500	tags=82%, list=51%, signal=163%	
HP_ABNORMAL_OPTIC_NERVE_MORPHOLOGY	HP_ABNORMAL_OPTIC_NERVE_MORPHOLOGY	Details ...	31	0.28141898	1.947144	0.0091743115	0.49594977	0.743	194	tags=52%, list=20%, signal=62%	
GOCC_SYNAPSE	GOCC_SYNAPSE	Details ...	62	0.19907019	1.936014	0.008130081	0.45283815	0.765	731	tags=95%, list=75%, signal=357%	
GOBP_EMBRYO_DEVELOPMENT	GOBP_EMBRYO_DEVELOPMENT	Details ...	61	0.19502847	1.9317513	0.0	0.40488416	0.775	648	tags=89%, list=67%, signal=248%	
GOBP_IN_UTERO_EMBRYONIC_DEVELOPMENT	GOBP_IN_UTERO_EMBRYONIC_DEVELOPMENT	Details ...	19	0.36230382	1.9308636	0.010676157	0.36349243	0.78	627	tags=100%, list=64%, signal=275%	
GOBP_DEVELOPMENTAL_PROCESS_INVOLVED_IN_REPRODUCTION	GOBP_DEVELOPMENTAL_PROCESS_INVOLVED_IN_REPRODUCTION	Details ...	43	0.22909603	1.9087131	0.015384615	0.3659834	0.817	627	tags=91%, list=64%, signal=243%	
