NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	INPP5D	38	3.33878755569458	-0.0034351263	No	
row_1	PSMA5	59	3.0733256340026855	0.009219847	No	
row_2	LCP2	78	2.9264135360717773	0.022372263	No	
row_3	ITK	96	2.8398513793945312	0.03562937	No	
row_4	CD200	117	2.7301971912384033	0.044513535	No	
row_5	XDH	258	-2.8698132038116455	-0.07178394	No	
row_6	LAIR1	355	-2.969944953918457	-0.1405185	Yes	
row_7	SOCS1	364	-2.979063034057617	-0.116227835	Yes	
row_8	RNF126	370	-2.9863617420196533	-0.08868906	Yes	
row_9	COL1A2	398	-3.0397632122039795	-0.08379468	Yes	
row_10	LAT	404	-3.050567388534546	-0.055550314	Yes	
row_11	TLR6	414	-3.071751594543457	-0.03129701	Yes	
row_12	THEM4	423	-3.0847365856170654	-0.0058450424	Yes	
row_13	FBXL15	424	-3.0885050296783447	0.02809607	Yes	
row_14	IFI30	425	-3.0911293029785156	0.062066022	Yes	
row_15	C3	451	-3.1319963932037354	0.07008593	Yes	
row_16	TRIB3	479	-3.1875813007354736	0.07660475	Yes	
row_17	MADCAM1	498	-3.2105870246887207	0.092880085	Yes	
row_18	RILP	503	-3.2199180126190186	0.1240415	Yes	
row_19	BTBD6	587	-3.4125118255615234	0.07389808	Yes	
row_20	PPL	644	-3.5497450828552246	0.053773876	Yes	
row_21	TUBA4A	688	-3.7320139408111572	0.049380276	Yes	
row_22	ICAM3	695	-3.7540688514709473	0.0842998	Yes	
row_23	ITGAL	751	-3.9228482246398926	0.06933178	Yes	
row_24	SPSB1	878	-4.348342418670654	-0.015933873	Yes	
row_25	TLR4	939	-4.897897720336914	-0.025466422	Yes	
row_26	KLHL9	956	-5.488257884979248	0.017951306	Yes	
