NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PSMA5	59	3.0733256340026855	-0.030196287	No	
row_1	EPAS1	104	2.793264627456665	-0.047500174	No	
row_2	H2AC6	171	-2.780921220779419	-0.088114776	No	
row_3	DNAJA4	201	-2.811549425125122	-0.08942232	No	
row_4	H1-4	205	-2.8135929107666016	-0.063311346	No	
row_5	H1-3	256	-2.869260311126709	-0.08614703	No	
row_6	CEBPB	376	-2.995509624481201	-0.18037735	No	
row_7	CXCL8	391	-3.0236406326293945	-0.16367222	No	
row_8	TRIB3	479	-3.1875813007354736	-0.22218455	No	
row_9	ATP6V0D2	523	-3.25465726852417	-0.23363444	No	
row_10	HSPB8	593	-3.4262049198150635	-0.27069682	No	
row_11	PTK6	608	-3.4624667167663574	-0.24942622	No	
row_12	HELZ2	676	-3.6643149852752686	-0.28190386	No	
row_13	TUBA4A	688	-3.7320139408111572	-0.2546677	No	
row_14	SOD3	691	-3.7454841136932373	-0.21780773	No	
row_15	TCIRG1	794	-4.065958023071289	-0.28298768	No	
row_16	HSPA12A	839	-4.207236289978027	-0.2855808	Yes	
row_17	H1-0	846	-4.222930431365967	-0.24796852	Yes	
row_18	HSPB1	853	-4.240479946136475	-0.21017365	Yes	
row_19	CDKN2B	907	-4.585554122924805	-0.2183145	Yes	
row_20	CDKN2A	932	-4.7787909507751465	-0.19388646	Yes	
row_21	TLR4	939	-4.897897720336914	-0.14925191	Yes	
row_22	MT1E	947	-5.158447742462158	-0.10296038	Yes	
row_23	H3C8	966	-6.119996070861816	-0.0582562	Yes	
row_24	HMOX1	968	-6.207196235656738	0.0052687936	Yes	
