NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	HRH2	107	2.7834794521331787	-0.06149604	Yes	
row_1	PENK	198	-2.8095626831054688	-0.10475678	Yes	
row_2	CCR4	214	-2.824213743209839	-0.069382794	Yes	
row_3	P2RY11	239	-2.8537685871124268	-0.042878993	Yes	
row_4	EDNRA	262	-2.8734564781188965	-0.013929462	Yes	
row_5	NPFFR1	282	-2.890042304992676	0.018454652	Yes	
row_6	TSHR	323	-2.9305002689361572	0.029626476	Yes	
row_7	ADRA2A	333	-2.9422924518585205	0.07340434	Yes	
row_8	CXCL8	391	-3.0236406326293945	0.06849584	Yes	
row_9	GPER1	447	-3.1277263164520264	0.067558564	Yes	
row_10	C3	451	-3.1319963932037354	0.121034935	Yes	
row_11	NPW	613	-3.469388246536255	0.01551044	Yes	
row_12	GAL	690	-3.7432453632354736	0.0037551601	Yes	
row_13	ADORA2B	705	-3.787498712539673	0.057585556	Yes	
row_14	BDKRB2	736	-3.8775219917297363	0.09632422	Yes	
row_15	NPB	791	-4.0528740882873535	0.113154024	Yes	
row_16	PTGIR	838	-4.203503608703613	0.14106593	Yes	
