NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	INPP5D	38	3.33878755569458	-0.012958266	No	
row_1	PSMA5	59	3.0733256340026855	-0.008934505	No	
row_2	TNFSF14	158	-2.763796091079712	-0.09052824	No	
row_3	LAMA5	170	-2.7803878784179688	-0.07933351	No	
row_4	SPHK1	182	-2.7983622550964355	-0.067990676	No	
row_5	GSDMD	253	-2.8675310611724854	-0.11891072	No	
row_6	LTA	280	-2.888554811477661	-0.12279917	Yes	
row_7	IL12RB2	287	-2.8931500911712646	-0.10535052	Yes	
row_8	IL15RA	320	-2.9288322925567627	-0.11529688	Yes	
row_9	FN1	337	-2.9470744132995605	-0.10805353	Yes	
row_10	TNFRSF18	362	-2.977454900741577	-0.109079555	Yes	
row_11	SOCS1	364	-2.979063034057617	-0.08559819	Yes	
row_12	CXCL8	391	-3.0236406326293945	-0.088373594	Yes	
row_13	COL1A2	398	-3.0397632122039795	-0.06971689	Yes	
row_14	CEBPD	421	-3.0840718746185303	-0.06773452	Yes	
row_15	IFI30	425	-3.0911293029785156	-0.045459695	Yes	
row_16	IL15	452	-3.1341545581817627	-0.0473245	Yes	
row_17	TNFSF9	466	-3.1576778888702393	-0.035150975	Yes	
row_18	ITGAX	505	-3.2209417819976807	-0.04908024	Yes	
row_19	MIF	506	-3.222379446029663	-0.022529084	Yes	
row_20	CASP1	533	-3.2840986251831055	-0.023158412	Yes	
row_21	NFKB2	544	-3.315506935119629	-0.006489544	Yes	
row_22	TNFRSF9	579	-3.3986008167266846	-0.01469512	Yes	
row_23	STAT5A	597	-3.4334332942962646	-0.004509324	Yes	
row_24	TNFRSF25	620	-3.4919378757476807	8.337125E-4	Yes	
row_25	LIF	627	-3.5132107734680176	0.023391433	Yes	
row_26	CD70	679	-3.6710686683654785	-6.734794E-4	Yes	
row_27	IL1R1	682	-3.68390154838562	0.027550519	Yes	
row_28	TUBA4A	688	-3.7320139408111572	0.052976057	Yes	
row_29	IRF7	737	-3.8785011768341064	0.033815198	Yes	
row_30	TRIM38	779	-4.0101542472839355	0.023193844	Yes	
row_31	MTAP	923	-4.696378707885742	-0.090399474	Yes	
row_32	TNFRSF1B	926	-4.718831539154053	-0.053648055	Yes	
row_33	H3C8	966	-6.119996070861816	-0.0447552	Yes	
row_34	HMOX1	968	-6.207196235656738	0.0053247306	Yes	
