NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CER1	2	4.688291072845459	0.021186063	Yes	
row_1	EBF2	13	3.8988149166107178	0.029693294	Yes	
row_2	ZNF423	18	3.736726999282837	0.043949872	Yes	
row_3	LEFTY2	32	3.4446916580200195	0.04691454	Yes	
row_4	SOX10	49	3.172832489013672	0.04524526	Yes	
row_5	PSMA5	59	3.0733256340026855	0.050730195	Yes	
row_6	PAX6	63	3.040254592895508	0.062607646	Yes	
row_7	KAT2B	76	2.940985918045044	0.06415416	Yes	
row_8	EPAS1	104	2.793264627456665	0.048570815	Yes	
row_9	ZIC1	109	2.7676703929901123	0.057996497	Yes	
row_10	ST14	126	-2.7309889793395996	0.054124556	Yes	
row_11	GFRA1	131	-2.734440326690674	0.06338458	Yes	
row_12	KCNQ2	132	-2.735244035720825	0.07702019	Yes	
row_13	NTN3	139	-2.7415385246276855	0.08412981	Yes	
row_14	KRT8	169	-2.7782256603240967	0.0662857	Yes	
row_15	H2AC6	171	-2.780921220779419	0.07905613	Yes	
row_16	GATA2	173	-2.790175437927246	0.091872685	Yes	
row_17	FOXH1	200	-2.810940742492676	0.07747036	Yes	
row_18	PKP3	223	-2.8341598510742188	0.06755537	Yes	
row_19	MESP1	240	-2.853797197341919	0.06429565	Yes	
row_20	COL4A3	247	-2.858926296234131	0.07199046	Yes	
row_21	SPTBN5	271	-2.878653049468994	0.061204374	Yes	
row_22	RET	292	-2.8974151611328125	0.05379051	Yes	
row_23	EPHA6	299	-2.9041547775268555	0.061710794	Yes	
row_24	PAX3	315	-2.919020891189575	0.05986912	Yes	
row_25	UNC5C	321	-2.9300830364227295	0.069011554	Yes	
row_26	MBP	326	-2.934398651123047	0.0792684	Yes	
row_27	POU5F1	374	-2.9945573806762695	0.04283061	Yes	
row_28	CEBPB	376	-2.995509624481201	0.056670792	Yes	
row_29	HES7	385	-3.016427516937256	0.062964976	Yes	
row_30	CEBPD	421	-3.0840718746185303	0.040088184	Yes	
row_31	DHH	428	-3.09759521484375	0.048972797	Yes	
row_32	MED17	441	-3.1184113025665283	0.051403806	Yes	
row_33	ANK1	450	-3.1319949626922607	0.058274113	Yes	
row_34	EBF1	482	-3.1892740726470947	0.040293355	Yes	
row_35	NR2F2	484	-3.191045045852661	0.05510831	Yes	
row_36	NGEF	520	-3.251512289047241	0.03306623	Yes	
row_37	FOXL2	536	-3.2896807193756104	0.033072356	Yes	
row_38	DKK1	548	-3.323007583618164	0.0376162	Yes	
row_39	MYH14	566	-3.36981201171875	0.035836	Yes	
row_40	KCNQ3	604	-3.4601972103118896	0.012648458	Yes	
row_41	IRX2	616	-3.4807422161102295	0.017978637	Yes	
row_42	COL6A3	617	-3.48250412940979	0.035339456	Yes	
row_43	KRT16	619	-3.4878439903259277	0.051634002	Yes	
row_44	AMH	624	-3.506196975708008	0.06474135	Yes	
row_45	PCSK6	628	-3.5141444206237793	0.07898121	Yes	
row_46	PPL	644	-3.5497450828552246	0.0802838	Yes	
row_47	HELZ2	676	-3.6643149852752686	0.06467119	Yes	
row_48	KRT75	683	-3.6859822273254395	0.076489	Yes	
row_49	IRX1	684	-3.7018518447875977	0.09494331	Yes	
row_50	TUBA4A	688	-3.7320139408111572	0.11026928	Yes	
row_51	ABLIM3	699	-3.7593185901641846	0.1180811	Yes	
row_52	ANGPTL4	700	-3.769260883331299	0.13687146	Yes	
row_53	NKX2-5	891	-4.421444416046143	-0.048737247	No	
row_54	HOXB2	900	-4.533762454986572	-0.034878913	No	
row_55	CDKN2A	932	-4.7787909507751465	-0.044935685	No	
row_56	SHTN1	942	-4.947065830230713	-0.030109864	No	
row_57	H3C8	966	-6.119996070861816	-0.02473735	No	
row_58	TFAP2C	969	-6.277585029602051	0.0043715867	No	
