NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PSMA5	59	3.0733256340026855	4.7203584E-4	Yes	
row_1	PDGFRA	72	2.970909357070923	0.04793656	Yes	
row_2	FGF1	74	2.951002836227417	0.106481366	Yes	
row_3	KAT2B	76	2.940985918045044	0.1648239	Yes	
row_4	CNTRL	110	2.7658779621124268	0.18622763	Yes	
row_5	PDGFB	194	-2.8065645694732666	0.15626085	Yes	
row_6	FN1	337	-2.9470744132995605	0.067544706	Yes	
row_7	CEBPB	376	-2.995509624481201	0.0883661	Yes	
row_8	FGF18	390	-3.022066831588745	0.13581978	Yes	
row_9	HDAC10	412	-3.067141056060791	0.17583291	Yes	
row_10	DHH	428	-3.09759521484375	0.22272402	Yes	
row_11	JAG2	448	-3.1277987957000732	0.26604968	Yes	
row_12	EREG	487	-3.1926653385162354	0.2908522	Yes	
row_13	DKK1	548	-3.323007583618164	0.29532212	Yes	
row_14	STAT5A	597	-3.4334332942962646	0.31454796	Yes	
row_15	ARRB1	711	-3.807941436767578	0.2734864	No	
