NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PLG	24	3.6117103099823	0.014779974	No	
row_1	COL28A1	56	3.0932798385620117	0.01642048	No	
row_2	LAMA5	170	-2.7803878784179688	-0.07191056	No	
row_3	PDGFB	194	-2.8065645694732666	-0.06501429	No	
row_4	COL4A3	247	-2.858926296234131	-0.08812743	No	
row_5	ADAMTS14	270	-2.8782241344451904	-0.07938076	No	
row_6	FN1	337	-2.9470744132995605	-0.11628322	No	
row_7	COL7A1	371	-2.988760471343994	-0.11791278	No	
row_8	COL1A2	398	-3.0397632122039795	-0.111592144	No	
row_9	COL13A1	402	-3.0478408336639404	-0.08092023	No	
row_10	P3H3	493	-3.201115369796753	-0.14031884	Yes	
row_11	MADCAM1	498	-3.2105870246887207	-0.108895004	Yes	
row_12	ITGAX	505	-3.2209417819976807	-0.07946592	Yes	
row_13	BGN	526	-3.2686381340026855	-0.06427525	Yes	
row_14	MMP17	595	-3.4300127029418945	-0.097925946	Yes	
row_15	COL6A3	617	-3.48250412940979	-0.08141583	Yes	
row_16	LTBP4	630	-3.517697811126709	-0.055021342	Yes	
row_17	PLEC	631	-3.517745018005371	-0.015968096	Yes	
row_18	LAMA3	648	-3.565378189086914	0.006736327	Yes	
row_19	ICAM3	695	-3.7540688514709473	-1.10017136E-4	Yes	
row_20	ITGAL	751	-3.9228482246398926	-0.014576278	Yes	
row_21	COL10A1	793	-4.0565009117126465	-0.012790823	Yes	
row_22	COL24A1	862	-4.265163421630859	-0.03716986	Yes	
row_23	P4HA2	868	-4.281909465789795	0.005092713	Yes	
row_24	MMP11	902	-4.537400722503662	0.02065583	Yes	
row_25	CAPN15	935	-4.790566444396973	0.040084388	Yes	
