NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	GABBR2	12	3.9163670539855957	0.03823284	Yes	
row_1	WNT3	93	2.8484997749328613	-0.008982351	Yes	
row_2	HRH2	107	2.7834794521331787	0.0134843085	Yes	
row_3	TAS1R3	129	-2.733983278274536	0.026887074	Yes	
row_4	PENK	198	-2.8095626831054688	-0.008202241	Yes	
row_5	CCR4	214	-2.824213743209839	0.012688195	Yes	
row_6	P2RY11	239	-2.8537685871124268	0.024488797	Yes	
row_7	UCN	259	-2.8704476356506348	0.041769177	Yes	
row_8	EDNRA	262	-2.8734564781188965	0.07698338	Yes	
row_9	NPFFR1	282	-2.890042304992676	0.094518244	Yes	
row_10	TSHR	323	-2.9305002689361572	0.09047331	Yes	
row_11	ADRA2A	333	-2.9422924518585205	0.1192131	Yes	
row_12	UCN2	341	-2.954184055328369	0.1502126	Yes	
row_13	CXCL8	391	-3.0236406326293945	0.13790365	Yes	
row_14	DHH	428	-3.09759521484375	0.14023942	Yes	
row_15	GPER1	447	-3.1277263164520264	0.16191387	Yes	
row_16	C3	451	-3.1319963932037354	0.19943327	Yes	
row_17	FZD9	519	-3.2504093647003174	0.17112215	No	
row_18	NPW	613	-3.469388246536255	0.118286625	No	
row_19	GAL	690	-3.7432453632354736	0.0869026	No	
row_20	ADORA2B	705	-3.787498712539673	0.12135648	No	
row_21	BDKRB2	736	-3.8775219917297363	0.14013745	No	
row_22	NPB	791	-4.0528740882873535	0.13593267	No	
row_23	PTGIR	838	-4.203503608703613	0.14210527	No	
