NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PLG	24	3.6117103099823	0.0010218043	Yes	
row_1	LEFTY2	32	3.4446916580200195	0.019009368	Yes	
row_2	INPP5D	38	3.33878755569458	0.038354833	Yes	
row_3	LCP2	78	2.9264135360717773	0.018247176	Yes	
row_4	TSPAN7	82	2.9009761810302734	0.036495242	Yes	
row_5	SELENOP	91	2.8535478115081787	0.04903914	Yes	
row_6	PLAUR	120	-2.722024917602539	0.039196815	Yes	
row_7	ECM1	168	-2.7759523391723633	0.009410808	Yes	
row_8	GATA2	173	-2.790175437927246	0.02576856	Yes	
row_9	PDE10A	183	-2.7983779907226562	0.03683367	Yes	
row_10	PDGFB	194	-2.8065645694732666	0.04688868	Yes	
row_11	PLAU	203	-2.8133130073547363	0.059134938	Yes	
row_12	GP1BA	231	-2.8445708751678467	0.051269814	Yes	
row_13	NOS3	281	-2.8893442153930664	0.020181298	Yes	
row_14	DGKQ	311	-2.915083885192871	0.010696469	Yes	
row_15	DOCK5	313	-2.917257070541382	0.031206302	Yes	
row_16	ADRA2A	333	-2.9422924518585205	0.032629386	Yes	
row_17	FN1	337	-2.9470744132995605	0.051218465	Yes	
row_18	COL1A2	398	-3.0397632122039795	0.00946538	Yes	
row_19	LAT	404	-3.050567388534546	0.026678726	Yes	
row_20	PROCR	468	-3.164313554763794	-0.017364988	Yes	
row_21	TTN	469	-3.168562173843384	0.006074546	Yes	
row_22	TOR4A	470	-3.1693921089172363	0.02952022	Yes	
row_23	ITGAX	505	-3.2209417819976807	0.016944665	Yes	
row_24	MIF	506	-3.222379446029663	0.040782314	Yes	
row_25	SLC7A5	527	-3.2783756256103516	0.04362092	Yes	
row_26	FERMT3	573	-3.3879432678222656	0.020503461	Yes	
row_27	KIF16B	634	-3.53033447265625	-0.01762061	Yes	
row_28	PCDH7	649	-3.5663554668426514	-0.00622768	Yes	
row_29	SLC3A2	659	-3.599818706512451	0.010766114	Yes	
row_30	TUBA4A	688	-3.7320139408111572	0.008395215	Yes	
row_31	ARRB1	711	-3.807941436767578	0.013009973	Yes	
row_32	GUCY1A1	726	-3.8453164100646973	0.026466522	Yes	
row_33	PICK1	731	-3.864288806915283	0.050770063	Yes	
row_34	ITGAL	751	-3.9228482246398926	0.059446838	Yes	
row_35	TIMP3	824	-4.174835205078125	0.013242513	Yes	
row_36	TNFRSF10D	826	-4.176154136657715	0.043065075	Yes	
row_37	PTGIR	838	-4.203503608703613	0.06238332	Yes	
row_38	SLC16A3	924	-4.696455478668213	0.0061190696	No	
row_39	H3C8	966	-6.119996070861816	0.007494711	No	
