NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	FCGR2A	7	4.010391712188721	0.030548431	No	
row_1	PSMA5	59	3.0733256340026855	0.0056672734	No	
row_2	MASP1	64	3.0248777866363525	0.030063037	No	
row_3	ACE2	79	2.92390775680542	0.04292117	No	
row_4	GALNT1	119	2.7225117683410645	0.027418194	No	
row_5	H2AC6	171	-2.780921220779419	-2.3038732E-4	No	
row_6	GSDMD	253	-2.8675310611724854	-0.058805294	No	
row_7	DVL1	338	-2.9507997035980225	-0.11976672	No	
row_8	ZDHHC11	411	-3.0663235187530518	-0.16693637	Yes	
row_9	TLR6	414	-3.071751594543457	-0.13998057	Yes	
row_10	CEBPD	421	-3.0840718746185303	-0.11714098	Yes	
row_11	MED17	441	-3.1184113025665283	-0.107733	Yes	
row_12	PARP10	442	-3.119767427444458	-0.07820635	Yes	
row_13	C3	451	-3.1319963932037354	-0.057029583	Yes	
row_14	RHBDF2	502	-3.218350887298584	-0.07947997	Yes	
row_15	CASP1	533	-3.2840986251831055	-0.08014407	Yes	
row_16	NFKB2	544	-3.315506935119629	-0.059346892	Yes	
row_17	HAVCR1	623	-3.5060250759124756	-0.10870425	Yes	
row_18	RNF135	647	-3.559652090072632	-0.099353	Yes	
row_19	IL1R1	682	-3.68390154838562	-0.10046602	Yes	
row_20	TUBA4A	688	-3.7320139408111572	-0.07043586	Yes	
row_21	SYT1	694	-3.7537293434143066	-0.040200178	Yes	
row_22	ADORA2B	705	-3.787498712539673	-0.01493589	Yes	
row_23	IRF7	737	-3.8785011768341064	-0.011032548	Yes	
row_24	TUSC3	758	-3.9518179893493652	0.005204906	Yes	
row_25	TLR4	939	-4.897897720336914	-0.13891576	Yes	
row_26	H2AC21	963	-5.816632270812988	-0.10820361	Yes	
row_27	H3C8	966	-6.119996070861816	-0.052398097	Yes	
row_28	HMOX1	968	-6.207196235656738	0.005290917	Yes	
