NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	FCGR2A	7	4.010391712188721	0.019187424	No	
row_1	TAX1BP1	20	3.7090020179748535	0.030997247	No	
row_2	PSMA5	59	3.0733256340026855	0.010646979	No	
row_3	MASP1	64	3.0248777866363525	0.026493955	No	
row_4	LCP2	78	2.9264135360717773	0.03201821	No	
row_5	ITK	96	2.8398513793945312	0.03266957	No	
row_6	PLAUR	120	-2.722024917602539	0.02609161	No	
row_7	PLAU	203	-2.8133130073547363	-0.04325116	No	
row_8	TLR10	248	-2.8595800399780273	-0.0714695	No	
row_9	GSDMD	253	-2.8675310611724854	-0.056670334	No	
row_10	NOS3	281	-2.8893442153930664	-0.06643053	No	
row_11	ATAD3B	283	-2.8903040885925293	-0.04825737	No	
row_12	UNC13D	339	-2.951503276824951	-0.08767882	No	
row_13	LAIR1	355	-2.969944953918457	-0.08401291	No	
row_14	SOCS1	364	-2.979063034057617	-0.07276748	No	
row_15	LAT	404	-3.050567388534546	-0.09434342	Yes	
row_16	TLR6	414	-3.071751594543457	-0.083554864	Yes	
row_17	ADA2	420	-3.0808064937591553	-0.068409555	Yes	
row_18	C3	451	-3.1319963932037354	-0.07977621	Yes	
row_19	CGAS	460	-3.1451666355133057	-0.067424655	Yes	
row_20	ITGAX	505	-3.2209417819976807	-0.093236595	Yes	
row_21	MIF	506	-3.222379446029663	-0.07177795	Yes	
row_22	ATP6V0D2	523	-3.25465726852417	-0.06729017	Yes	
row_23	CASP1	533	-3.2840986251831055	-0.05508755	Yes	
row_24	ABCA13	543	-3.31323504447937	-0.042690895	Yes	
row_25	NFKB2	544	-3.315506935119629	-0.02061209	Yes	
row_26	CPPED1	559	-3.3440611362457275	-0.013380728	Yes	
row_27	RNF125	638	-3.5346028804779053	-0.07362379	Yes	
row_28	FCAR	639	-3.5386719703674316	-0.050058868	Yes	
row_29	RNF135	647	-3.559652090072632	-0.033873037	Yes	
row_30	CTSZ	655	-3.584707021713257	-0.017520353	Yes	
row_31	DNASE1L1	666	-3.6249210834503174	-0.004122219	Yes	
row_32	PTPRB	687	-3.7124321460723877	-8.8246446E-4	Yes	
row_33	ICAM3	695	-3.7540688514709473	0.01659804	Yes	
row_34	ARHGAP45	727	-3.854275941848755	0.008967117	Yes	
row_35	IRF7	737	-3.8785011768341064	0.025128022	Yes	
row_36	ITGAL	751	-3.9228482246398926	0.037287787	Yes	
row_37	SVIP	784	-4.027000427246094	0.029732965	Yes	
row_38	TCIRG1	794	-4.065958023071289	0.047142193	Yes	
row_39	TNFRSF1B	926	-4.718831539154053	-0.062142823	Yes	
row_40	TLR4	939	-4.897897720336914	-0.04241584	Yes	
row_41	CD68	951	-5.323736667633057	-0.01877897	Yes	
row_42	HMOX1	968	-6.207196235656738	0.0053705107	Yes	
