NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SEPTIN7	39	3.332306385040283	0.018794002	Yes	
row_1	PTPN3	51	3.157999277114868	0.063759714	Yes	
row_2	PSMA5	59	3.0733256340026855	0.11139537	Yes	
row_3	PDGFRA	72	2.970909357070923	0.15196948	Yes	
row_4	FGF1	74	2.951002836227417	0.20369388	Yes	
row_5	GFRA1	131	-2.734440326690674	0.1940143	Yes	
row_6	PDGFB	194	-2.8065645694732666	0.17934829	Yes	
row_7	ABHD17A	197	-2.8088152408599854	0.22748405	Yes	
row_8	SPTBN5	271	-2.878653049468994	0.20260088	Yes	
row_9	RET	292	-2.8974151611328125	0.23349255	Yes	
row_10	FN1	337	-2.9470744132995605	0.24016763	Yes	
row_11	PAQR3	372	-2.9903035163879395	0.25807598	Yes	
row_12	FGF18	390	-3.022066831588745	0.29433477	Yes	
row_13	LAT	404	-3.050567388534546	0.33528733	Yes	
row_14	NEFL	408	-3.058987617492676	0.38685068	Yes	
row_15	EREG	487	-3.1926653385162354	0.3623526	No	
row_16	ARRB1	711	-3.807941436767578	0.19718342	No	
row_17	HSPB1	853	-4.240479946136475	0.125523	No	
