NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	REPS2	31	3.4459421634674072	0.027610317	Yes	
row_1	GALNT1	119	2.7225117683410645	-0.015892453	Yes	
row_2	SPTBN5	271	-2.878653049468994	-0.12355203	Yes	
row_3	GJD3	285	-2.8925821781158447	-0.08676844	Yes	
row_4	COL7A1	371	-2.988760471343994	-0.12354523	Yes	
row_5	TRAPPC5	388	-3.0208706855773926	-0.08766258	Yes	
row_6	AP1G2	432	-3.1051292419433594	-0.07852593	Yes	
row_7	GJB2	433	-3.109480857849121	-0.024381422	Yes	
row_8	ANK1	450	-3.1319949626922607	0.013436202	Yes	
row_9	COPZ2	455	-3.136183977127075	0.06386595	Yes	
row_10	EREG	487	-3.1926653385162354	0.08706603	Yes	
row_11	KIF16B	634	-3.53033447265625	-0.004021344	Yes	
row_12	CTSZ	655	-3.584707021713257	0.0374995	Yes	
row_13	TUBA4A	688	-3.7320139408111572	0.06904616	Yes	
row_14	SYT1	694	-3.7537293434143066	0.12918413	Yes	
row_15	ARRB1	711	-3.807941436767578	0.17877181	Yes	
row_16	DAB2	952	-5.395794868469238	0.021943549	No	
