NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	INPP5D	38	3.33878755569458	-0.0045473147	Yes	
row_1	PON2	86	2.881220579147339	-0.023490192	Yes	
row_2	FABP7	94	2.8454227447509766	-5.3170277E-4	Yes	
row_3	MTMR7	137	-2.740955352783203	-0.01568567	Yes	
row_4	SPHK1	182	-2.7983622550964355	-0.032341324	Yes	
row_5	VDR	188	-2.8004226684570312	-0.0077487784	Yes	
row_6	HACD4	226	-2.8353264331817627	-0.01661048	Yes	
row_7	CYP24A1	264	-2.8751602172851562	-0.025047192	Yes	
row_8	PITPNM1	301	-2.9052183628082275	-0.03210613	Yes	
row_9	FUT2	303	-2.9079086780548096	-0.0021384784	Yes	
row_10	PNPLA4	312	-2.9154553413391113	0.020510113	Yes	
row_11	B3GALT4	343	-2.9567959308624268	0.020343956	Yes	
row_12	ACSL5	383	-3.012366771697998	0.011256949	Yes	
row_13	PLBD1	409	-3.063551425933838	0.01751519	Yes	
row_14	THEM4	423	-3.0847365856170654	0.036684446	Yes	
row_15	MED17	441	-3.1184113025665283	0.05198465	Yes	
row_16	SGPP2	443	-3.121609926223755	0.0842323	Yes	
row_17	TRIB3	479	-3.1875813007354736	0.081243	Yes	
row_18	FHL2	500	-3.213005304336548	0.09438119	Yes	
row_19	CPT1A	501	-3.214334487915039	0.12867521	Yes	
row_20	OXCT2	521	-3.252048969268799	0.14328703	Yes	
row_21	GAL3ST1	654	-3.579986572265625	0.041947346	No	
row_22	HELZ2	676	-3.6643149852752686	0.058843512	No	
row_23	ANGPTL4	700	-3.769260883331299	0.07474519	No	
row_24	A4GALT	712	-3.8094546794891357	0.1037607	No	
row_25	LPCAT2	937	-4.854660511016846	-0.08123097	No	
row_26	PLIN2	948	-5.247146129608154	-0.03581953	No	
row_27	CH25H	962	-5.735204696655273	0.011627805	No	
