NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SOX10	49	3.172832489013672	0.0032103555	Yes	
row_1	PSMA5	59	3.0733256340026855	0.046553556	Yes	
row_2	GFRA1	131	-2.734440326690674	0.01922582	Yes	
row_3	KCNQ2	132	-2.735244035720825	0.066179655	Yes	
row_4	COL4A3	247	-2.858926296234131	-0.0039902036	Yes	
row_5	SPTBN5	271	-2.878653049468994	0.021366853	Yes	
row_6	RET	292	-2.8974151611328125	0.050184056	Yes	
row_7	EPHA6	299	-2.9041547775268555	0.09376131	Yes	
row_8	UNC5C	321	-2.9300830364227295	0.122093275	Yes	
row_9	MBP	326	-2.934398651123047	0.16828175	Yes	
row_10	ANK1	450	-3.1319949626922607	0.09338522	Yes	
row_11	NGEF	520	-3.251512289047241	0.07702571	Yes	
row_12	MYH14	566	-3.36981201171875	0.08780157	Yes	
row_13	KCNQ3	604	-3.4601972103118896	0.108497195	Yes	
row_14	COL6A3	617	-3.48250412940979	0.15572637	Yes	
row_15	TUBA4A	688	-3.7320139408111572	0.14656924	Yes	
row_16	ABLIM3	699	-3.7593185901641846	0.20064233	Yes	
row_17	SHTN1	942	-4.947065830230713	0.03242676	No	
