NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SLC6A11	0	5.535912990570068	0.06396247	Yes	
row_1	SLC6A1	8	3.9939444065093994	0.1027327	Yes	
row_2	GABBR2	12	3.9163670539855957	0.14482155	Yes	
row_3	GRIA2	19	3.7197682857513428	0.18147767	Yes	
row_4	LRRTM3	60	3.059755325317383	0.17468075	Yes	
row_5	TSPAN7	82	2.9009761810302734	0.18607035	Yes	
row_6	KCNQ2	132	-2.735244035720825	0.16604033	No	
row_7	KCNJ12	235	-2.8488452434539795	0.09147461	No	
row_8	SYN3	243	-2.855661153793335	0.117093004	No	
row_9	GABRB3	334	-2.9434022903442383	0.05626469	No	
row_10	PLCB1	353	-2.96479868888855	0.071552925	No	
row_11	KCNC4	396	-3.034359931945801	0.0623551	No	
row_12	NEFL	408	-3.058987617492676	0.08610779	No	
row_13	KCNG1	418	-3.078713893890381	0.11219588	No	
row_14	SLITRK2	513	-3.234872579574585	0.05052028	No	
row_15	GABRG3	552	-3.326986312866211	0.048918452	No	
row_16	KCNC3	572	-3.386237144470215	0.06802229	No	
row_17	BEGAIN	575	-3.392683506011963	0.10511419	No	
row_18	KCNK13	591	-3.4171500205993652	0.12879017	No	
row_19	KCNQ3	604	-3.4601972103118896	0.15612473	No	
row_20	TUBA4A	688	-3.7320139408111572	0.111784294	No	
row_21	SYT1	694	-3.7537293434143066	0.14988653	No	
row_22	PICK1	731	-3.864288806915283	0.15660024	No	
row_23	LRFN4	769	-3.9835147857666016	0.16363774	No	
row_24	KCNN4	880	-4.350986003875732	0.09799798	No	
