NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	FCGR2A	7	4.010391712188721	0.040382788	No	
row_1	PSMA5	59	3.0733256340026855	0.023292262	No	
row_2	PLAUR	120	-2.722024917602539	-0.0074548377	No	
row_3	PLAU	203	-2.8133130073547363	-0.060272876	No	
row_4	GSDMD	253	-2.8675310611724854	-0.077708505	No	
row_5	ATAD3B	283	-2.8903040885925293	-0.07382035	No	
row_6	UNC13D	339	-2.951503276824951	-0.09657192	No	
row_7	LAIR1	355	-2.969944953918457	-0.07699865	No	
row_8	ADA2	420	-3.0808064937591553	-0.107684314	No	
row_9	C3	451	-3.1319963932037354	-0.10197099	No	
row_10	ITGAX	505	-3.2209417819976807	-0.11940913	Yes	
row_11	MIF	506	-3.222379446029663	-0.08104068	Yes	
row_12	ABCA13	543	-3.31323504447937	-0.07948516	Yes	
row_13	CPPED1	559	-3.3440611362457275	-0.05545734	Yes	
row_14	FCAR	639	-3.5386719703674316	-0.09648073	Yes	
row_15	CTSZ	655	-3.584707021713257	-0.069587566	Yes	
row_16	DNASE1L1	666	-3.6249210834503174	-0.03695242	Yes	
row_17	PTPRB	687	-3.7124321460723877	-0.013801611	Yes	
row_18	ARHGAP45	727	-3.854275941848755	-0.008961882	Yes	
row_19	ITGAL	751	-3.9228482246398926	0.013536429	Yes	
row_20	SVIP	784	-4.027000427246094	0.027801184	Yes	
row_21	TCIRG1	794	-4.065958023071289	0.06674033	Yes	
row_22	TNFRSF1B	926	-4.718831539154053	-0.014967892	Yes	
row_23	CD68	951	-5.323736667633057	0.023157984	Yes	
