NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PLG	24	3.6117103099823	0.033917487	Yes	
row_1	LEFTY2	32	3.4446916580200195	0.08290541	Yes	
row_2	LCP2	78	2.9264135360717773	0.083629355	Yes	
row_3	SELENOP	91	2.8535478115081787	0.117716976	Yes	
row_4	ECM1	168	-2.7759523391723633	0.08352027	Yes	
row_5	PDGFB	194	-2.8065645694732666	0.10322719	Yes	
row_6	GP1BA	231	-2.8445708751678467	0.11203716	Yes	
row_7	DGKQ	311	-2.915083885192871	0.07697378	Yes	
row_8	ADRA2A	333	-2.9422924518585205	0.10308822	Yes	
row_9	FN1	337	-2.9470744132995605	0.14812902	Yes	
row_10	COL1A2	398	-3.0397632122039795	0.13499932	Yes	
row_11	LAT	404	-3.050567388534546	0.17963788	Yes	
row_12	TTN	469	-3.168562173843384	0.16442546	Yes	
row_13	TOR4A	470	-3.1693921089172363	0.21624231	Yes	
row_14	FERMT3	573	-3.3879432678222656	0.164826	No	
row_15	PCDH7	649	-3.5663554668426514	0.14459884	No	
row_16	TUBA4A	688	-3.7320139408111572	0.1658235	No	
row_17	ARRB1	711	-3.807941436767578	0.20504345	No	
row_18	TIMP3	824	-4.174835205078125	0.15602095	No	
