NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	DDB2	48	3.1851563453674316	-0.03343557	No	
row_1	PSMA5	59	3.0733256340026855	-0.026352987	No	
row_2	KAT2B	76	2.940985918045044	-0.02654246	No	
row_3	GPLD1	89	2.865593194961548	-0.022837764	No	
row_4	ART3	98	2.8248515129089355	-0.015036887	No	
row_5	LSAMP	103	2.7940640449523926	-0.003081799	No	
row_6	EPAS1	104	2.793264627456665	0.013202323	No	
row_7	GALNT1	119	2.7225117683410645	0.013906039	No	
row_8	PLAUR	120	-2.722024917602539	0.02977485	No	
row_9	B3GNT7	152	-2.757747173309326	0.01226578	No	
row_10	SPON2	155	-2.75984525680542	0.026188226	No	
row_11	H2AC6	171	-2.780921220779419	0.026149036	No	
row_12	VDR	188	-2.8004226684570312	0.02514011	No	
row_13	PENK	198	-2.8095626831054688	0.031768434	No	
row_14	ULBP2	202	-2.8123979568481445	0.04491383	No	
row_15	SBSPON	216	-2.825742244720459	0.047302783	No	
row_16	GCNT3	227	-2.835344076156616	0.05299798	No	
row_17	ADAMTS14	270	-2.8782241344451904	0.024273606	No	
row_18	SPTBN5	271	-2.878653049468994	0.041055523	No	
row_19	STAMBPL1	286	-2.8931267261505127	0.04275389	No	
row_20	FN1	337	-2.9470744132995605	0.0057635084	No	
row_21	COL7A1	371	-2.988760471343994	-0.012565652	No	
row_22	TPGS1	386	-3.0168569087982178	-0.010145965	No	
row_23	ADAMTSL5	387	-3.0208218097686768	0.0074647656	No	
row_24	TRAPPC5	388	-3.0208706855773926	0.025075782	No	
row_25	EVA1A	392	-3.0255563259124756	0.03946384	No	
row_26	NOTUM	415	-3.072103977203369	0.033538215	No	
row_27	FBXL15	424	-3.0885050296783447	0.042876136	No	
row_28	ANK1	450	-3.1319949626922607	0.03404939	No	
row_29	C3	451	-3.1319963932037354	0.052308246	No	
row_30	COPZ2	455	-3.136183977127075	0.067341246	No	
row_31	GALNT6	509	-3.2312874794006348	0.02875749	No	
row_32	FOXL2	536	-3.2896807193756104	0.019766595	No	
row_33	NFKB2	544	-3.315506935119629	0.03151131	No	
row_34	MXRA8	551	-3.3260421752929688	0.044400867	No	
row_35	BTBD6	587	-3.4125118255615234	0.026375238	No	
row_36	MDGA2	598	-3.4362919330596924	0.035573833	No	
row_37	GFPT2	601	-3.4476819038391113	0.053506218	No	
row_38	B4GALNT2	607	-3.4612810611724854	0.06826761	No	
row_39	RNF135	647	-3.559652090072632	0.046766084	No	
row_40	CTSZ	655	-3.584707021713257	0.060080178	No	
row_41	TUBA4A	688	-3.7320139408111572	0.047167446	No	
row_42	ARRB1	711	-3.807941436767578	0.045531593	No	
row_43	TUSC3	758	-3.9518179893493652	0.018732343	No	
row_44	ST8SIA3	771	-3.9902069568634033	0.028993294	No	
row_45	SPSB1	878	-4.348342418670654	-0.060499724	No	
row_46	RAB17	928	-4.742284297943115	-0.085941	Yes	
row_47	CDKN2A	932	-4.7787909507751465	-0.06133197	Yes	
row_48	KLHL9	956	-5.488257884979248	-0.054255366	Yes	
row_49	H2AC21	963	-5.816632270812988	-0.026846213	Yes	
row_50	TFAP2C	969	-6.277585029602051	0.0043336144	Yes	
