NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	GRIA2	19	3.7197682857513428	0.006011651	No	
row_1	DDB2	48	3.1851563453674316	-0.0013869228	No	
row_2	PSMA5	59	3.0733256340026855	0.009674183	No	
row_3	KAT2B	76	2.940985918045044	0.013381333	No	
row_4	ZNF519	95	2.841453790664673	0.014244852	No	
row_5	TWIST2	135	-2.7385497093200684	-0.008079989	No	
row_6	NR2F1	153	-2.758596897125244	-0.0067335023	No	
row_7	ATP1B4	161	-2.766712188720703	0.0053656213	No	
row_8	H2AC6	171	-2.780921220779419	0.015426294	No	
row_9	GATA2	173	-2.790175437927246	0.034108628	No	
row_10	PMAIP1	178	-2.796133279800415	0.04962458	No	
row_11	VDR	188	-2.8004226684570312	0.059823304	No	
row_12	GP1BA	231	-2.8445708751678467	0.03504044	No	
row_13	RET	292	-2.8974151611328125	-0.008619676	No	
row_14	RNU4ATAC	332	-2.9417386054992676	-0.029506128	No	
row_15	RNU1-1	356	-2.971595525741577	-0.03306892	No	
row_16	TNFRSF18	362	-2.977454900741577	-0.0173389	No	
row_17	CEBPB	376	-2.995509624481201	-0.010037216	No	
row_18	COL1A2	398	-3.0397632122039795	-0.010978408	No	
row_19	HDAC10	412	-3.067141056060791	-0.00316964	No	
row_20	MED17	441	-3.1184113025665283	-0.011040707	No	
row_21	CASP1	533	-3.2840986251831055	-0.08511855	No	
row_22	RNU4-1	539	-3.2960586547851562	-0.0671331	No	
row_23	ABCA6	565	-3.368286371231079	-0.070026726	No	
row_24	PIDD1	585	-3.4075064659118652	-0.0662256	No	
row_25	GLI3	586	-3.4077069759368896	-0.0421022	No	
row_26	RNU2-1	606	-3.4604945182800293	-0.037925966	No	
row_27	ZNF726	678	-3.670665979385376	-0.08787689	No	
row_28	RORB	724	-3.840646266937256	-0.108817026	No	
row_29	ITGAL	751	-3.9228482246398926	-0.10885438	No	
row_30	MSX2	819	-4.1554789543151855	-0.15109521	No	
row_31	TNFRSF10D	826	-4.176154136657715	-0.12794903	No	
row_32	NKX2-5	891	-4.421444416046143	-0.1650985	Yes	
row_33	CDKN2B	907	-4.585554122924805	-0.14867982	Yes	
row_34	CDKN2A	932	-4.7787909507751465	-0.14051886	Yes	
row_35	RNU11	961	-5.717841148376465	-0.12998839	Yes	
row_36	H3C8	966	-6.119996070861816	-0.09094257	Yes	
row_37	TFAP2C	969	-6.277585029602051	-0.04864213	Yes	
row_38	MLLT3	973	-7.3244805335998535	-1.611188E-7	Yes	
