NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	GABBR2	12	3.9163670539855957	0.026814941	Yes	
row_1	WNT3	93	2.8484997749328613	-0.02926177	Yes	
row_2	HRH2	107	2.7834794521331787	-0.014945092	Yes	
row_3	TAS1R3	129	-2.733983278274536	-0.009611699	Yes	
row_4	PDE10A	183	-2.7983779907226562	-0.03756242	Yes	
row_5	PENK	198	-2.8095626831054688	-0.024042847	Yes	
row_6	CCR4	214	-2.824213743209839	-0.011435801	Yes	
row_7	P2RY11	239	-2.8537685871124268	-0.008074372	Yes	
row_8	UCN	259	-2.8704476356506348	7.576785E-4	Yes	
row_9	EDNRA	262	-2.8734564781188965	0.02764768	Yes	
row_10	NPFFR1	282	-2.890042304992676	0.03667756	Yes	
row_11	DGKQ	311	-2.915083885192871	0.036416255	Yes	
row_12	TSHR	323	-2.9305002689361572	0.05433817	Yes	
row_13	ADRA2A	333	-2.9422924518585205	0.07450003	Yes	
row_14	FN1	337	-2.9470744132995605	0.10107285	Yes	
row_15	UCN2	341	-2.954184055328369	0.12771744	Yes	
row_16	PLCB1	353	-2.96479868888855	0.14598563	Yes	
row_17	CXCL8	391	-3.0236406326293945	0.13727634	Yes	
row_18	DHH	428	-3.09759521484375	0.13037413	Yes	
row_19	GPER1	447	-3.1277263164520264	0.14286415	Yes	
row_20	C3	451	-3.1319963932037354	0.17130397	Yes	
row_21	FZD9	519	-3.2504093647003174	0.1330708	No	
row_22	NGEF	520	-3.251512289047241	0.1658986	No	
row_23	PLCB4	564	-3.3665199279785156	0.15428838	No	
row_24	NPW	613	-3.469388246536255	0.13841452	No	
row_25	GAL	690	-3.7432453632354736	0.09561309	No	
row_26	ADORA2B	705	-3.787498712539673	0.11900607	No	
row_27	ARRB1	711	-3.807941436767578	0.15214944	No	
row_28	BDKRB2	736	-3.8775219917297363	0.16584685	No	
row_29	NPB	791	-4.0528740882873535	0.1495013	No	
row_30	PTGIR	838	-4.203503608703613	0.14316006	No	
