NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	INPP5D	38	3.33878755569458	0.0010059364	No	
row_1	PSMA5	59	3.0733256340026855	0.01768234	No	
row_2	LAMA5	170	-2.7803878784179688	-0.06387255	No	
row_3	GSDMD	253	-2.8675310611724854	-0.11491559	No	
row_4	IL12RB2	287	-2.8931500911712646	-0.11411959	No	
row_5	IL15RA	320	-2.9288322925567627	-0.11183428	No	
row_6	FN1	337	-2.9470744132995605	-0.09250077	No	
row_7	SOCS1	364	-2.979063034057617	-0.083290026	No	
row_8	CXCL8	391	-3.0236406326293945	-0.07353236	No	
row_9	COL1A2	398	-3.0397632122039795	-0.04254639	No	
row_10	CEBPD	421	-3.0840718746185303	-0.027841186	No	
row_11	IL15	452	-3.1341545581817627	-0.020933712	No	
row_12	ITGAX	505	-3.2209417819976807	-0.03609498	No	
row_13	MIF	506	-3.222379446029663	0.0034406725	No	
row_14	CASP1	533	-3.2840986251831055	0.01639392	No	
row_15	NFKB2	544	-3.315506935119629	0.046556912	No	
row_16	STAT5A	597	-3.4334332942962646	0.03400272	No	
row_17	LIF	627	-3.5132107734680176	0.046612393	No	
row_18	IL1R1	682	-3.68390154838562	0.035028167	No	
row_19	MTAP	923	-4.696378707885742	-0.15971747	Yes	
row_20	TNFRSF1B	926	-4.718831539154053	-0.103924766	Yes	
row_21	H3C8	966	-6.119996070861816	-0.06984747	Yes	
row_22	HMOX1	968	-6.207196235656738	0.005257625	Yes	
